Row,Name,Description,Category,Effects,Type,Range,Damage,Duration,Drain,Source,Grouping
128,"Hot Potato","Hot Potato is an area-effect spell that allows the spellcaster to create the illusion that all metal within the range is extremely hot to the touch. Characters who fail to resist feel as though any metal they are in contact with (weapons, armor, implants, piercings, etc.) is burning them. If the character does not drop, remove, or otherwise disengage contact from the metal, they will a dice pool modifier equal to the caster`s net hits to all actions as they are distracted by the burning sensation. Once they lose contact with any metal, the distraction is over. The drawback to this spell is that the spellcaster cannot limit or control who is targeted by this spell, as it effects enemies and allies alike.",Illusion,"Realistic, Single-Sense",Mana,LOS(A),,S,F-3,SR5:SG,NULL
129,"[Sense] Removal","This set of spells allow the spellcaster to mystically strip the target of a specified sense (sight, hearing, taste, etc.) Each sense requires a separate spell. The target suffers a -1 dice pool modifier to all Perception Tests involving that sense for every net hit scored by the caster. Implants and other technological sensors that use that sense are also affected. The drawback to this spell is that the spellcaster cannot limit or control who is targeted by this spell - it affects enemies and allies alike.",Illusion,"Realistic, Single-Sense",Physical,LOS,,S,F-3,SR5:SG,NULL
130,"Mass [Sense] Removal","This set of spells allow the spellcaster to mystically strip the target of a specified sense (sight, hearing, taste, etc.) Each sense requires a separate spell. The target suffers a -1 dice pool modifier to all Perception Tests involving that sense for every net hit scored by the caster. Implants and other technological sensors that use that sense are also affected. The drawback to this spell is that the spellcaster cannot limit or control who is targeted by this spell - it affects enemies and allies alike.",Illusion,"Realistic, Single-Sense, Area",Physical,LOS(A),,S,F-1,SR5:SG,NULL
131,Stink,"This set of spells provides the spellcaster an obnoxious tool to distract her enemies by creating an illusion of a sickening, gut-wrenching stench. Every net hit scored by the caster applies a -1 dice pool modifier to all of the target`s actions as they gag and retch. At the gamemaster`s discretion, a character who suffers a dice pool modifier higher than his Willpower is completely incapacitated and pre-occupied with throwing up. Thankfully, the spellcaster is immune to the effects of this spell. Stink affects a single target, Stench is an area spell.",Illusion,"Realistic, Single-Sense",Mana,LOS,,S,F-3,SR5:SG,NULL
132,Stench,"This set of spells provides the spellcaster an obnoxious tool to distract her enemies by creating an illusion of a sickening, gut-wrenching stench. Every net hit scored by the caster applies a -1 dice pool modifier to all of the target`s actions as they gag and retch. At the gamemaster`s discretion, a character who suffers a dice pool modifier higher than his Willpower is completely incapacitated and pre-occupied with throwing up. Thankfully, the spellcaster is immune to the effects of this spell. Stink affects a single target, Stench is an area spell.",Illusion,"Realistic, Single-Sense, Area",Mana,LOS(A),,S,F-1,SR5:SG,NULL
133,"Sound Barrier","Sound Barrier is a variant of the Silence spell (p. 291, SR5) that allows the spellcaster to create a perimeter of silence around the area of effect (rather than creating a mass area of silence). Those inside the sound barrier cannot hear outside noises but can hear sounds within the globe and vice versa. Only sounds crossing the border are affected, in the same manners as the Silence spell. Sound Barrier also affects technological devices, infrasound, and ultrasound.",Illusion,"Realistic, Single-Sense, Area",Physical,LOS(A),,S,F-3,SR5:SG,NULL
134,"Switch Vehicle Signature","Switch Vehicle Signature is a variant of Physical Mask (p. 291, SR5) designed to switch the electronic signal unique to a vehicle (or a drone) with another vehicle of roughly the same size for a limited time. Electronic sensors (such as those from other vehicles or drones) will read the vehicle signature of one of the affected vehicles as though it were the other targeted vehicle. This spell does not grant additional verification codes that paranoid security systems might require to grant access to secure areas, but it will help a vehicle sneak past casual security monitoring. This deception is only effective as long as the two targeted vehicles are within a five kilometers of each other. Once the targeted vehicles exceed the range, the vehicle signatures snap back to normal. This sudden switch will trigger an alert by most security systems looking for abnormalities. In addition, should one of the vehicles be destroyed, the effects of this spell are automatically canceled.  The spell`s duration is ten minutes plus an additional ten minutes for each net hit scored by the caster.",Illusion,"Realistic, Multi-Sense",Physical,T,,Special,F+1,SR5:SG,NULL
135,"Vehicle Mask","Vehicle Mask is a variant of Physical Mask (p. 291, SR5) designed to mask the identities of vehicles and drones. By touching the targeted vehicle, the spellcaster creates an illusion that masks it to appear to be a completely different vehicle of roughly the same size. In addition to the visual mask, this spell affects the vehicle`s sound, smell, and other identifiable characteristics. Vehicle Mask can also modify a vehicle`s Signature (p. 184, SR5); each net hit scored by the caster can be used to raise or lower the vehicle`s Signature modifier by 1. The caster must be actively touching the vehicle being masked to sustain the spell.",Illusion,"Realistic, Multi-Sense",Physical,T,,S,F-3,SR5:SG,NULL
136,Animate,"This spell causes inanimate objects to move. The object moves according to its structure (balls can roll, rugs may crawl, humanoid statues can walk, and so on). The spell imparts a limited flexibility, allowing solid objects such as statues to shamble a bit as if they had joints. You need to get net successes against the target`s Object Resistance (p. 295); larger items (over 200 kilograms) have their resistance increased by 2 for every full 200 kilos they weigh. Controlling the object takes only a Simple Action; objects can also be ordered to maintain their movement while you direct your attention elsewhere. You only have rough control over the object`s movement and can`t manipulate individual parts or components (finer control requires a spell like Magic Fingers, p. 294). The maximum movement rate for objects is (Force) meters per turn, subject to the gamemaster`s discretion. If the object is held by someone else, you need to win an Opposed Test using Force x 2 against the holder`s Strength + Body to break the object free. If it`s fastened, make this Force x 2 Success Test against an appropriate gamemaster-determined threshold.  Animate affects a single non-living object; Mass Animate is an area spell that can get a number of objects moving at once (like a room full of brooms, for example).",Manipulation,Physical,Physical,LOS,,S,F-1,Core,NULL
137,"Mass Animate","This spell causes inanimate objects to move. The object moves according to its structure (balls can roll, rugs may crawl, humanoid statues can walk, and so on). The spell imparts a limited flexibility, allowing solid objects such as statues to shamble a bit as if they had joints. You need to get net successes against the target`s Object Resistance (p. 295); larger items (over 200 kilograms) have their resistance increased by 2 for every full 200 kilos they weigh. Controlling the object takes only a Simple Action; objects can also be ordered to maintain their movement while you direct your attention elsewhere. You only have rough control over the object`s movement and can`t manipulate individual parts or components (finer control requires a spell like Magic Fingers, p. 294). The maximum movement rate for objects is (Force) meters per turn, subject to the gamemaster`s discretion. If the object is held by someone else, you need to win an Opposed Test using Force x 2 against the holder`s Strength + Body to break the object free. If it`s fastened, make this Force x 2 Success Test against an appropriate gamemaster-determined threshold.  Animate affects a single non-living object; Mass Animate is an area spell that can get a number of objects moving at once (like a room full of brooms, for example).",Manipulation,"Physical, Area",Physical,LOS(A),,S,F+1,Core,NULL
138,Armor,"This spell creates a glowing field of magical energy around the subject that protects against Physical Damage. It provides Armor equal to the hits scored and is cumulative with other armor. It is not included in any calculations to determine armor encumbrance (see Armor and Encumbrance, p. 169).",Manipulation,Physical,Physical,LOS,,S,F-2,Core,NULL
139,"Control Actions","You control the physical actions of your target like a puppeteer pulling strings. The victim`s consciousness is unaffected, but you control the victim`s body. Use your own skills when forcing your target to perform actions. It takes a Complex Action to make the target perform any action.  Control Actions only affects a single target, Mob Control affects any living targets within the area of effect. Victims of Mob Control may be manipulated individually (with separate actions) or issued the same command as a group (with a single action).",Manipulation,Mental,Mana,LOS,,S,F-1,Core,NULL
140,"Mob Control","You control the physical actions of your target like a puppeteer pulling strings. The victim`s consciousness is unaffected, but you control the victim`s body. Use your own skills when forcing your target to perform actions. It takes a Complex Action to make the target perform any action.  Control Actions only affects a single target, Mob Control affects any living targets within the area of effect. Victims of Mob Control may be manipulated individually (with separate actions) or issued the same command as a group (with a single action).",Manipulation,"Mental, Area",Mana,LOS(A),,S,F+1,Core,NULL
141,"Control Thoughts","The magician seizes control of the target`s mind, directing everything the target thinks. The magician mentally gives commands with a Standard Action, and the target is compelled to obey as if it were his own idea.  Control Thoughts affects a single target, while Mob Mind affects any living targets within the area of effect. Victims of a Mob Mind may be manipulated individually (with separate actions) or issued the same command as a group (with a single action).",Manipulation,Mental,Mana,LOS,,S,F-1,Core,NULL
142,"Mob Mind","The magician seizes control of the target`s mind, directing everything the target thinks. The magician mentally gives commands with a Standard Action, and the target is compelled to obey as if it were his own idea.  Control Thoughts affects a single target, while Mob Mind affects any living targets within the area of effect. Victims of a Mob Mind may be manipulated individually (with separate actions) or issued the same command as a group (with a single action).",Manipulation,"Mental, Area",Mana,LOS,,S,F+1,Core,NULL
143,Fling,"This spell psychokinetically hurls a single object of no more than (Force) kilograms at a designated target. Use your Spellcasting Test in place of a normal Ranged Combat Test for the purposes of the item hitting the target, and use your Magic instead of Strength for determining Damage Value and range. Use standard grenade ranges (see Range Table, p. 185)",Manipulation,"Physical, Damaging",Physical,LOS,,I,F-2,Core,NULL
144,"Ice Sheet","This spell creates a slipper y sheet of ice over the area of ef fect. Characters crossing the ice must make an Agility + Reaction Test with a threshold equal to the hits you score to avoid falling prone. Vehicles must make an immediate Crash Test (p. 201). The sheet melts at a rate of 1 square meter per minute at room temperature (faster when it `s hotter, slower when it `s colder, or not at all if it `s below freezing).",Manipulation,"Environmental, Area",Physical,LOS(A),,I,F,Core,NULL
145,Ignite,"The Ignite spell accelerates molecular motion in the target, causing it to catch fire once the spell becomes permanent. Against non-living targets, the magician must succeed against the target `s Object Resistance dice pool. Once the target ignites, it burns normally until it is consumed or extinguished.  Against living targets, treat Ignite as a Spellcasting + Magic [Force] v. Body + Reaction Test. If successful, the spell wraps a living target in heat and flames, eventually setting the target on fire (Fire Damage p. 171).",Manipulation,Physical,Physical,LOS,,P,F-1,Core,NULL
146,Influence,"You implant a single suggestion in the victim`s mind, like a powerful post-hypnotic command. For example, you might have your target think that FizzyFluid is the best drink on the market, or that he can`t remember his best friend`s name, or that he should let you past a locked door. The target carries out this suggestion as if it were his own idea. If confronted with the wrongness of the suggestion (like when the reality of the flavor of FizzyFluid in his mouth contrasts with his belief that it`s good), the subject can attempt to overcome it using the rules for overcoming mental manipulations (p. 292). In any case, the suggestion fades naturally after a number of minutes equal to your net hits.",Manipulation,Mental,Mana,LOS,,P,F-1,Core,NULL
147,Levitate,"Levitate allows you to telekinetically lift a person or object and move it around. You have to beat a threshold equal to the subject`s mass divided by 200 kilograms, rounded up. The subject of the spell can be moved anywhere in your line of sight at a movement rate equal to the spell`s Force in meters per Combat Turn.  If you`re trying to levitate an item held by a living being, or levitate an unwilling living being, that being can defend against the Spellcasting Test with Strength + Body. You can use this spell to levitate yourself, if you need a view from a higher perspective or desire some parachute-free sky diving.",Manipulation,Physical,Physical,LOS,,S,F-2,Core,NULL
148,Light,"This spell creates a mobile point of light, illuminating a radius around it equal to the spell`s Force in meters. The spell cannot be used to blind a target, but it offsets darkness visibility modifiers. Each hit on the Spellcasting Test counters a -1 die penalty due to light conditions.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-4,Core,NULL
149,"Magic Fingers","Magic Fingers creates a psychokinetic effect as a sort of invisible hand that can hold or manipulate items. The hits on the Spellcasting + Magic Test become the spell`s effective Strength and Agility. You can use skills remotely with Magic Fingers, replacing your inherent limits with the spell`s Force. The spell has problems with fine control, so even simple actions such as picking up a coin may require a test (at the gamemaster`s discretion). You can fight, pick a lock, or perform any other action, using the magic fingers as if they were your real hands. The magic fingers can manipulate objects within your line of sight, but only objects within a meter or so of one another at any given moment (the `hands` can`t be farther away from each other than your arm span). This spell comes in very handy (no pun intended) for disarming bombs and handling other hazardous work from a safe distance.",Manipulation,Physical,Physical,LOS,,S,F-2,Core,NULL
150,"Mana Barrier","Mana Barrier creates an invisible barrier of magical energy. It has a barrier rating equal to the net hits scored and follows the rules for mana barriers (p. 315). This barrier does not restrict living beings or physical objects, but it impedes spirits, foci, dual beings, and spells on the plane in which you cast it (physical or astral). If cast on the astral plane, it also impedes astral forms and reduces visibility.",Manipulation,"Environmental, Area",Mana,LOS(A),,S,F-2,Core,NULL
151,"Physical Barrier","This spell creates a glowing, translucent force field with 1 point of both Armor and Structure rating per hit. You can form the barrier as a dome with a radius and height equal to the spell`s normal radius. Alternately, you can use it to form a wall with a height equal to the spell`s Force and a length equal to its Force x 2.Physical Barrier creates a physical wall. Anything the size of a molecule (or less) can pass through the barrier, including air or other gases. Anything bigger treats the barrier as a normal physical wall. The wall is translucent but shimmers, the equivalent of Light Fog (p. 175). The barrier does not impede spellcasting (other than visibility penalties), except for spells with physical components like indirect combat spells. The barrier can be brought down by physical attacks, but as long as you sustain it will regenerate all of its Structure Rating at the beginning of each Combat Turn. If the barrier is reduced to Structure Rating 0, it collapses and the spell ends.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-1,Core,NULL
152,Poltergeist,"Poltergeist picks up all small objects (up to a kilogram in mass) within the spell`s area and whirls them around in random patterns. This creates the equivalent visibility penalty of Light Fog (p. 175). The spell inflicts 2 boxes of Stun damage (resisted with Body + Armor) to anyone in the area each Combat Turn, whacking them with flying debris. Poltergeist may do more damage in cluttered environments, or inflict Physical damage if the gamemaster feels the debris is sufficiently dangerous (broken glass and nails, for example). If there is no debris lying around, this spell doesn`t do much more than make a spooky noise.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-2,Core,NULL
153,Shadow,"Shadow creates a globe of darkness with a radius equal to the spell`s Force in meters. For every two hits, increase the light penalty (p. 175) by one catagory - 2 hits for Partial Light, 4 hits for Dim Light, and 6 hits for Total Darkness. This spell doesn`t cause more than Total Darkness.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-3,Core,NULL
154,Bind,"This set of spells is used by the spellcaster to bind a target with invisible bands of magical energy that impede movement. Every net hit reduces the target`s Agility by 1. If Agility is reduced to 0, the target is bound and unable to move his limbs. While bound by the spell, the target may attempt to crawl or hop short distances (at one-quarter their normal movement rate). Bound targets may still defend and dodge against attacks, but they suffer a dice-pool modifier equal to the caster`s net hits. A bound target may attempt to break free of the bindings by making an Opposed Test, pitting Strength + Body against the spell`s Force x 2.  Bind works on single targets, while Net Bind is an area spell. These spells may be used against inanimate objects such as drones to restrict moving or rotating parts, though this may not stop some drones and vehicles, depending on their method of propulsion.  Mana Bind and Mana Net work against astral or dual-natured entities, and the Opposed Test to break free is Willpower + Charisma vs. spell`s Force x 2.  Mana Bind only works on a single living or magical target, while Mana Net is an area spell that works against living/magical targets.",Manipulation,Physical,Physical,LOS,,S,F-2,SR5:SG,NULL
155,"Net Bind","This set of spells is used by the spellcaster to bind a target with invisible bands of magical energy that impede movement. Every net hit reduces the target`s Agility by 1. If Agility is reduced to 0, the target is bound and unable to move his limbs. While bound by the spell, the target may attempt to crawl or hop short distances (at one-quarter their normal movement rate). Bound targets may still defend and dodge against attacks, but they suffer a dice-pool modifier equal to the caster`s net hits. A bound target may attempt to break free of the bindings by making an Opposed Test, pitting Strength + Body against the spell`s Force x 2.  Bind works on single targets, while Net Bind is an area spell. These spells may be used against inanimate objects such as drones to restrict moving or rotating parts, though this may not stop some drones and vehicles, depending on their method of propulsion.  Mana Bind and Mana Net work against astral or dual-natured entities, and the Opposed Test to break free is Willpower + Charisma vs. spell`s Force x 2.  Mana Bind only works on a single living or magical target, while Mana Net is an area spell that works against living/magical targets.",Manipulation,"Physical, Area",Physical,LOS(A),,S,F-1,SR5:SG,NULL
156,"Mana Bind","This set of spells is used by the spellcaster to bind a target with invisible bands of magical energy that impede movement. Every net hit reduces the target`s Agility by 1. If Agility is reduced to 0, the target is bound and unable to move his limbs. While bound by the spell, the target may attempt to crawl or hop short distances (at one-quarter their normal movement rate). Bound targets may still defend and dodge against attacks, but they suffer a dice-pool modifier equal to the caster`s net hits. A bound target may attempt to break free of the bindings by making an Opposed Test, pitting Strength + Body against the spell`s Force x 2.  Bind works on single targets, while Net Bind is an area spell. These spells may be used against inanimate objects such as drones to restrict moving or rotating parts, though this may not stop some drones and vehicles, depending on their method of propulsion.  Mana Bind and Mana Net work against astral or dual-natured entities, and the Opposed Test to break free is Willpower + Charisma vs. spell`s Force x 2.  Mana Bind only works on a single living or magical target, while Mana Net is an area spell that works against living/magical targets.",Manipulation,Mana,Mana,LOS,,S,F-2,SR5:SG,NULL
157,"Mana Net","This set of spells is used by the spellcaster to bind a target with invisible bands of magical energy that impede movement. Every net hit reduces the target`s Agility by 1. If Agility is reduced to 0, the target is bound and unable to move his limbs. While bound by the spell, the target may attempt to crawl or hop short distances (at one-quarter their normal movement rate). Bound targets may still defend and dodge against attacks, but they suffer a dice-pool modifier equal to the caster`s net hits. A bound target may attempt to break free of the bindings by making an Opposed Test, pitting Strength + Body against the spell`s Force x 2.  Bind works on single targets, while Net Bind is an area spell. These spells may be used against inanimate objects such as drones to restrict moving or rotating parts, though this may not stop some drones and vehicles, depending on their method of propulsion.  Mana Bind and Mana Net work against astral or dual-natured entities, and the Opposed Test to break free is Willpower + Charisma vs. spell`s Force x 2.  Mana Bind only works on a single living or magical target, while Mana Net is an area spell that works against living/magical targets.",Manipulation,"Mana, Area",Mana,LOS(A),,S,F-1,SR5:SG,NULL
158,"Bug Zapper","Bug Zapper is a modified version of the Mana Barrier spell (p. 294, SR5) designed to work against insect spirits and insect spirit powers. After the fall of Chicago, this spell started to become quite popular as the `Bug Menace` grew in importance. When cast on the physical plane, Spirit Zapper impedes materialized spirits, creating a mana-based object that `zaps` any insect spirits that come into contact with it. The barrier inflicts Physical damage equal to its Force. Otherwise, Bug Zapper functions the same as Mana Barrier. Note that this spell does not damage any other types of spirits or astral forms.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F+1,SR5:SG,NULL
159,"Calm Animal","Calm Animal allows a spellcaster to calm any non-sapient creature (normal or paranormal), making it non-aggressive while the spell is sustained. Calm Animal affects a single creature, while Calm Pack is an area spell. Affected animals still defend themselves if attacked.",Manipulation,Mental,Mana,LOS,,S,F-3,SR5:SG,NULL
160,"Calm Pack","Calm Animal allows a spellcaster to calm any non-sapient creature (normal or paranormal), making it non-aggressive while the spell is sustained. Calm Animal affects a single creature, while Calm Pack is an area spell. Affected animals still defend themselves if attacked.",Manipulation,"Mental, Area",Mana,LOS(A),,S,F-1,SR5:SG,NULL
161,Catfall,"A spellcaster may utilize Catfall to slow a target`s fall to help him land safely without suffering falling damage (p. 172, SR5). Gamemasters can determine the maximum distance (in meters) the target may fall without danger of injury by multiplying the spellcaster`s hits by the spell`s Force. If the target falls a greater distance, subtract the maximum distance of the spell before calculating damage.",Manipulation,Physical,Physical,LOS,,S,F-3,SR5:SG,NULL
162,"Clean [Element]","Clean [Element] is an area spell that clears all impurities out of the volume of a particular element within range. Each element requires a different spell (Clean Air, Clean Water, etc.). For example, Clean Air could be used to cleanse a room of toxic fumes, or Clean Water could purify a drinking supply. The caster`s hits determine how thoroughly the element is cleaned; slightly muddy water would require only 1 hit to clean, while contaminated runoff water could require four hits to make it drinkable. The amount of an element cleaned equals the caster`s Magic Rating x 10 in cubic meters.",Manipulation,"Environmental, Area",Physical,LOS(A),,P,F-3,SR5:SG,NULL
163,"Compel Truth","Compel Truth is a spell that forces the target to speak only the truth as she knows it. The target can say something he or she believes to be true, even if it is not. The subject may choose not to speak or to withhold information but cannot directly lie. Some jurisdictions (like the UCAS) consider the use of this spell by law enforcement authorities to be a violation of a suspect`s right against self-incrimination. Others have been known to use this spell (among others) to get to the truth in legal cases. The spell lasts for a number of minutes equal to the hits on the Spellcasting Test.",Manipulation,Mental,Mana,LOS,,Special,F-1,SR5:SG,NULL
164,"Control Animal","This set of spells is a variant of Control Thoughts and Mob Mind (p. 293, SR5) designed to work on non-sapient animals (both normal and paranormal). The spellcaster first seizes control of the animals` minds and actions and then may issue verbal commands that must be obeyed with a Simple Action. Gamemasters should consider the intelligence of the targeted animal and the complexity of the command when determining how effectively the targeted animal obeys.  Control Animal affects a single creature; Control Pack is an area spell.",Manipulation,Mental,Mana,LOS,,S,F-3,SR5:SG,NULL
165,"Control Pack","This set of spells is a variant of Control Thoughts and Mob Mind (p. 293, SR5) designed to work on non-sapient animals (both normal and paranormal). The spellcaster first seizes control of the animals` minds and actions and then may issue verbal commands that must be obeyed with a Simple Action. Gamemasters should consider the intelligence of the targeted animal and the complexity of the command when determining how effectively the targeted animal obeys.  Control Animal affects a single creature; Control Pack is an area spell.",Manipulation,"Mental, Area",Mana,LOS,,S,F-1,SR5:SG,NULL
166,Deflection,"Deflection grants the spellcaster the ability to cast a spell of protection over a willing target. Every hit scored grants the target a +1 dice pool modifier for defending against ranged physical attacks. The effects of this spell are subtle enough to be discounted as a missed shot or poor aim (at least at first).",Manipulation,Physical,Physical,LOS,,S,F-1,SR5:SG,NULL
167,"[Element] Aura","[Element] Aura creates a rippling aura of elemental energies around a willing subject`s body, granting her some of the properties of said element. Each element requires a different spell such as Flame Aura, Electrical Aura, Cold Aura, and so on. Said auras increase the Damage Value of any melee attacks by the caster`s hits depending upon the nature of the element. Attacks are also treated asÂ Cold,Â Electricity,Â Fire, or some otherÂ Elemental Damage, and have the armor penetration appropriate to each attack. Any successful physical melee attack against the subject also means that the attacker must resist similar damage from the aura.",Manipulation,Environmental,Physical,LOS,,S,F+1,SR5:SG,NULL
168,"[Element] Wall","[Element] Wall allows the spellcaster to create a wall composed of the specified element named in the spell. Each element requires a different spell, such as Fire Wall, Ice Wall, Smoke Wall, and so on. The elemental wall may have a height and length up to the spell`s Force in meters. Alternatively, the caster may craft a dome with a radius and height equal to half the Force in meters. The width of the wall can be up to one meter. The caster may adjust this size if he has the Spll Shaping metamagic (p. 326, SR5).  Anyone coming into contact with the wall suffers special damage as appropriate to the element (p. 170, SR5), with a Damage Value equal to the spell`s Force. Note that some elemental walls (fire, smoke, etc.) are not solid and do not block attacks, though they may inflict Visibility modifiers as determined by the gamemaster. Solid walls (earth, ice, etc.) have an Armor and Structure rating equal to the caster`s Spellcasting hits.",Manipulation,Environmental,Physical,LOS(A),,S,F+2,SR5:SG,NULL
169,Fashion,"This spell instantly tailors clothing, transforming garments into any fashion the caster wishes. The net hits over the clothing`s object resistance (defense pool for the clothing can be between 6 and 9, depending on the complexity of the material and whether it interweaves electronics into the threads) measure the degree of style in the tailoring. The spell cannot change clothing`s protective value, only its cut, color, pattern, and fit. The weight of the clothing does not change, and it must cover approximately the same amount of area (for example, a jumpsuit can`t be converted into a bikini). The caster must touch the clothing.",Manipulation,"Environmental, Area",Physical,T(A),,P,F-1,SR5:SG,NULL
170,Fix,"Most spellcasters have devoted their efforts towards learning spells rather than mechanics. This can leave a magician in a bad situation when there is a need for an emergency repair during a run. Fix allows the spellcaster to repair damage to non-living materials, including drones and vehicles. The caster must first touch the object and then achieve enough hits to beat the item`s Object Resistance threshold (p. 295, SR5).  Fix can repair any item with a weight equal to the Force x the spellcaster`s hits in kilograms or less. This spell can only repair broken items when all the pieces are present. The weight limit applies to the damaged part, not necessarily the entire vehicle. For example, if you have a busted wheel, you would count that weight not the weight of the entire vehicle. Each hit scored repairs 1 point of Structure rating or 1 box of damage. An object may only be affected by Fix once and thereafter may not be repaired again by this spell.",Manipulation,Physical,Physical,T,,P,F,SR5:SG,NULL
171,"Gecko Crawl","Gecko Crawl spell allows the caster to grant a willing subject the ability to walk along vertical or overhead surfaces at a movement rate equal to Force x hits in meters per turn. Although the subject has amazing climbing abilities for the duration of the spell, he is still affected by gravity and will fall if his hands or feet are physically separated from the surface. The gamemaster may elect to require Climbing Tests in order for the subject to climb especially slick surfaces.",Manipulation,Physical,Physical,T,,S,F-3,SR5:SG,NULL
172,Glue,"Glue allows the spellcaster to bond a target to any one surface to which it is currently in contact. The target must be touching the surface at the time of the spellcasting. The caster must beat the surface`s Object Resistance Test (p. 295, SR5) in order to create the mystical bond. Pulling the two surfaces apart requires an Opposed Test between the spell`s Force x 2 and the separator`s Strength + Body. If a target or surface has a Body or Structure rating lower than the spell`s Force, the skin/surface will be torn apart in the process of being separated (suffering Physial damage equal to the difference).",Manipulation,Physical,Physical,LOS,,P,F-3,SR5:SG,NULL
173,"Glue Strip","Glue allows the spellcaster to bond a target to any one surface to which it is currently in contact. The target must be touching the surface at the time of the spellcasting. The caster must beat the surface`s Object Resistance Test (p. 295, SR5) in order to create the mystical bond. Pulling the two surfaces apart requires an Opposed Test between the spell`s Force x 2 and the separator`s Strength + Body. If a target or surface has a Body or Structure rating lower than the spell`s Force, the skin/surface will be torn apart in the process of being separated (suffering Physial damage equal to the difference).",Manipulation,"Physical, Area",Physical,LOS(A),,P,F-1,SR5:SG,NULL
174,"Increase Noise","Noise is the static on the wireless Matrix that saps your signal and slows down your access (p. 230, SR5). Spellcasters can leverage this set of spells to artificially increase or decrease the noise within the range of the spell. The spellcaster is not immune to her alternations of the noise and may indeed be hoisted on her own petard should she attempt to use the Matrix after she has increased the noise.  The spellcaster must achieve enough hits to beat thresholds as follows: public grid (2), local grid (4), global grid (6). Each net hit achieved increases or reduces the noise of the Matrix by 1 within the boundaries of the spell. For more information about the effects of noise and the Matrix, refer to the chart on p. 231, SR5.  Unusual changes in the noise of a specific area may attract undue attention and increase the Overwatch Score (p. 231, SR5). For every net hit on the Spellcasting Test above 4, increase all Overwatch Scores of hackers in the affected area by 1D6 per minute",Manipulation,Physical,Physical,LOS(A),,S,F-3,SR5:SG,NULL
175,"Decrease Noise","Noise is the static on the wireless Matrix that saps your signal and slows down your access (p. 230, SR5). Spellcasters can leverage this set of spells to artificially increase or decrease the noise within the range of the spell. The spellcaster is not immune to her alternations of the noise and may indeed be hoisted on her own petard should she attempt to use the Matrix after she has increased the noise.  The spellcaster must achieve enough hits to beat thresholds as follows: public grid (2), local grid (4), global grid (6). Each net hit achieved increases or reduces the noise of the Matrix by 1 within the boundaries of the spell. For more information about the effects of noise and the Matrix, refer to the chart on p. 231, SR5.  Unusual changes in the noise of a specific area may attract undue attention and increase the Overwatch Score (p. 231, SR5). For every net hit on the Spellcasting Test above 4, increase all Overwatch Scores of hackers in the affected area by 1D6 per minute",Manipulation,Physical,Physical,LOS(A),,S,F-1,SR5:SG,NULL
176,"Increase Gear Limits","Quality gear isn`t always easy to come by in a tight spot. Sometimes a runner has to make do with what she can scrounge. This set of spells allows a spellcaster to temporarily upgrade or downgrade targeted gear by increasing a single limitation category, such as Accuracy (p. 417, SR5). Wily spellcasters secretly use Decrease Gear Limits to sabotage rivals and enemies without them ever suspecting the true the instrument of their downfall.  The caster must first touch the object, select a single limit to affect, and then achieve enough hits to beat the item`s Object Resistance Test (p. 295, SR5). Only one limit may be altered at a time for any particular piece of gear. Each net hit achieved increases or reduces the target`s selected inherent limit by 1, to a minimum of 1. Increase Gear Limits increases the limit of a subject while Decrease Gear Limits decreases the limits of a target.",Manipulation,Physical,Physical,LOS,,S,F-1,SR5:SG,NULL
177,"Decrease Gear Limits","Quality gear isn`t always easy to come by in a tight spot. Sometimes a runner has to make do with what she can scrounge. This set of spells allows a spellcaster to temporarily upgrade or downgrade targeted gear by increasing a single limitation category, such as Accuracy (p. 417, SR5). Wily spellcasters secretly use Decrease Gear Limits to sabotage rivals and enemies without them ever suspecting the true the instrument of their downfall.  The caster must first touch the object, select a single limit to affect, and then achieve enough hits to beat the item`s Object Resistance Test (p. 295, SR5). Only one limit may be altered at a time for any particular piece of gear. Each net hit achieved increases or reduces the target`s selected inherent limit by 1, to a minimum of 1. Increase Gear Limits increases the limit of a subject while Decrease Gear Limits decreases the limits of a target.",Manipulation,Physical,Physical,T,,S,F-1,SR5:SG,NULL
178,Interference,"Interference floods the airwaves with electromagnetic jamming signals to block out wireless and radio communications. Each net hit from the caster increases the Noise by one just like a jammer (p. 441, SR5). Sadly, the spellcaster`s personal equipment is not immune to this spell.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-1,SR5:SG,NULL
179,Lock,"Lock allows the spellcaster to telekinetically hold a door (or portal, hatch, closure, or similar blockage) closed with a Strength equal to the Force. The caster must beat the item`s Object Resistance Test (p. 295, SR5) to hold the blockade into place. Opening the portal requires an Opposed Test between Strength and the spell`s Force.",Manipulation,Physical,Physical,LOS,,S,F-1,SR5:SG,NULL
180,"Mana Static","Mana Static allows the spellcaster to create a background count that impedes magical activities. For every hit scored by the caster, the background count is increased by 1. Once the spell is made permanent, the background count from this spell recedes at a rate of 1 point per hour. Mana Static affects everyone in the affected area, including the caster.",Manipulation,"Environmental, Area",Mana,LOS(A),,P,F-1,SR5:SG,NULL
