Row,Name,Karma,Description,Type,Source,Prerequisites,MaxRating,Bonus,Skill,RequireText,Options
193,"Leeeeeeeroy Jenkins","20 KARMA","Planning is not your strong suit. Following other people’s plans is not your strong suit. Rushing in swinging with both fists is the only plan you ever need.    The character must succeed in a Composure (3) Test to resist attacking any identified threat immediately. This attack can be conducted using any Combat skills, any Direct or Indirect Damage spell, drones that can be directed to attack the target, or assaults against the target’s persona or gear using any Matrix or Resonance action that causes Matrix, Stun, or Physical damage.    The character doesn’t care if the odds are against him, the attack is downright suicidal or just plain stupid: they will attack. Crucially, they will also not bother sharing their attack plan (such as it is) with their teammates.    The character can, however, recognize they are in a losing situation and back out of the fight, but only after a minimum of 2 Combat Turns have passed.    If the character roars his or her name as a Free Action right before the first blow is struck, they gain +1 die to their first attack. Good luck.",Negative,SR5:DT,,1,,,0,
194,Liar,"7 KARMA","You’d never make it as Pinocchio. Everyone around knows the character to be a compulsive liar, and even when she manages to utter the truth, she just sounds false and insincere. Let’s look at how this plays out. First, the character receives a –1 dice pool modifier to all Social skill tests. Also, whenever the character addresses someone, the gamemaster rolls 1D6. On a result of 1, the target of the conversation calls bullshit and assumes the character is lying, no matter what they are saying. Trust is lost, conversation is over. This occurs with every conversation the character takes part in. Any NPC who lost trust in the character this way continues to maintain a certain level of mistrust, and the next time they encounter the character, things go wrong on a roll of 1 or 2. If it happens a third time, the character gains a point of Notoriety, and reduces the Loyalty value of the contact by 1 (if it was a contact). If that means they hit Loyalty 0, then say sayonara to that contact.",Negative,SR5:RF,,1,,,0,
195,Lightweight,"6 KARMA","On the bright side, this quality means it’s easy, and cheap, to get drunk. On the downside, it takes far less to get a person addicted to the various types of chemical drugs on the market. The Addiction Rating of any substance on the Addiction Table (p. 414, SR5) or any other related tables is 2 levels higher for the character.",Negative,SR5:CF,,1,,,0,
196,"Loss Of Confidence","10 KARMA","The Loss of Confidence quality means something has caused the character to lose confidence in himself and one of his abilities. Though a skilled decker, he failed to hack into a Stuffer Shack host, or despite high Agility, he glitched an easy Climbing Test and fell into a dumpster—whatever the reason, he now doubts himself and his abilities. In tests involving the affected skill, the character suffers a –2 dice pool modifier. If the character has a specialization with the skill, the character cannot use that specialization while suffering a loss of confidence. The skill chosen for the character to have a Loss of Confidence must be one that the character prides himself in and has invested in building. Only skills with a rating 4 or higher may suffer the Loss of Confidence quality. Edge may not be used for tests involving this skill when the character is suffering Loss of Confidence.",Negative,Core,,1,,,0,
197,"Low Pain Tolerance","9 KARMA","Characters with Low Pain Tolerance are particularly sensitive to pain; they incur a –1 wound modifier for every 2 boxes of cumulative damage, instead of the normal 3 boxes. This affects both Physical and Stun damage tracks.",Negative,Core,,1,,,0,
198,"Motion Sickness","4 KARMA","Yes, there is a strong benefit from being able to move from place to place, but if your traveling comes with too much, well, motion, your stomach starts doing flipflops. Any time you are in a vehicle that is effectively accelerating at a rate of 3 or higher (that is, moving across three or more range categories) or moving at a Speed of 4 or higher, you experience Nausea (p. 409, SR5) until the vehicle’s Speed or Acceleration drops. Once the vehicle movement drops, the Nausea disappears in (12 – Body) minutes.",Negative,SR5:R5.0,,1,,,0,
199,Nerdrage,"8 KARMA","This character is a little more comfortable with machines than other individuals. Whenever the character fails a Social Test—whether he initiated it, or was the target of one—the character takes it extremely personally and feels deeply humiliated about the encounter. They subsequently build bitter feelings against the individual (if it was a group of people, the bitterness targets the formal or nominal leader of the group). Distracted by their shame and rage, the character starts suffering a –2 dice penalty to all Social Tests. However, the character can remove this penalty by getting back at the target character by gaining 1 mark on their commlink and performing an Edit File action on it to deface it. The character does not need to perform this themselves—anyone doing this on their behalf is a-okay with them.    The character must “get back” at all characters that humiliated them before losing the dice penalty. If the character is able to confirm the target is now dead (such as by putting a bullet in their head themselves), then that works too.    This quality can be bought off following the normal rules at any time, the character having learned to let it go a little better.",Negative,SR5:DT,,1,,,0,
200,"Night Blindness","6 KARMA","No one understands how dark the shadows are like you. The character’s natural vision does not adjust well to poor lighting conditions. All Light/Glare Environmental modifiers are one category worse for the character, with the exception of Full Light/No Glare, which still has no modifier.    This quality is incompatible with any other quality that affects the eyes of the character and must be immediately bought off if the character corrects the issue with cyber- or bioware. If the character does not have enough Karma to buy off the quality, they cannot get the corrective gear.",Negative,SR5:RF,,1,,,0,
201,"Oblivious I","6 KARMA","The character with this quality fails to notice the troll in the corner with the Panther cannon … even after they’ve fired it! A 6 Karma level of Oblivious means a –2 dice pool modifier to all Perception Tests, including standard, Astral, and Matrix. On top of that, at the 10 Karma level, all Perception Test thresholds are increased by 1.",Negative,SR5:RF,,1,,Perception:-2,0,
202,"One Of Them","7 KARMA","Unless you’ve been living in the middle of the SOX Irradiated Zone for the last few years, you know that cognitive fragmentation disorder is a pretty serious problem. Mysterious and misunderstood, CFD can spread easily and essentially steals someone’s soul. It can strike anyone, anywhere, regardless of wealth or social class, and there are no cures, nor means of prevention. Plus, affected individuals can masquerade as healthy people for a significant period of time before being detected. Is it any wonder the world is feeling a little paranoid these days?    Unfortunately for you, word on the street is that you are a head case, as CFD-inflicted individuals are colloquially known. No amount of reasoning has thus far convinced your friends and acquaintances that these are baseless rumors—everyone is convinced you’re crawling with CFD. Bummer.    While this quality can be bought off with Karma as per normal rules, until this happens, all of your Contacts believe you’re afflicted with CFD. None will agree to meet you in the flesh for fear of being infected. If you drop in on them in person unexpectedly, they will either fight you or flee from your presence. Some may still agree to deal with you virtually, though ironically, their Loyalty works against you now. In order to do business with the character, the Contact must fail a Loyalty Test.",Negative,SR5:CF,,1,,,0,
203,"Ork Poser","6 KARMA","Influenced by Goblin Rock or over-hyped orxploitation trends, an Ork Poser is an elf or human character who alters her appearance to appear as an ork. Various cosmetic biomods—tusk implants, steroids, larynx alterations, etc.—allow him to successfully pass as an ork. Ork posers are an embarrassment to many orks, but some tolerate, if not appreciate, the compliment behind the effort. This means an ork who discovers the character’s secret may either become very hostile toward him or be willing to let the character join the “family”—provided he passes an appropriate hazing ritual to prove his “orkness.” An outed ork poser may also face stigma from other humans or elves as “race traitors,” if those humans/elves harbor any prejudice against orks.    Only humans and elves may take the Ork Poser quality.",Negative,Core,,1,Notoriety:1,,0,
204,"Pacifist I","10 KARMA","To hurt another is to mar the soul. This quality represents two levels of moral inflexibility that prevent the character from delivering, or allowing others to deliver, harm to another being. At the 10 Karma level, the character avoids violence not performed in self-defense. The character will not participate in runs involving wetwork and may try to dissuade other team members from doing so. Non-lethal attacks (gel rounds, tasers, flash-bangs, stun spells, etc.) are still considered “violent,” and may only be used in self-defense—after an opponent has clearly attacked the character, other team members, or innocent bystanders.    At the 15 Karma level, the character will not commit any violence regardless of provocation or threat to themselves or others. If the character commits any act of violence they are stricken with a powerful sense of guilt and suffer a –1 dice pool modifier to all tests involving Mental attributes until the character succeeds at a Charisma + Willpower (20, 1 day) Extended Test. If the character does not succeed at the test within seven days, they lose 1 point of Willpower or Charisma, whichever is higher. The loss is permanent, but the –1 dice pool modifier to tests involving Mental attributes goes away. If the character actually kills someone (or even thinks they did), the dice pool modifier becomes –2, the Extended Test interval changes to 1 week, and the character’s Mental Limit is decreased by 1.",Negative,SR5:RF,,1,,,0,
205,Paranoia,"7 KARMA","It’s only paranoia if they aren’t out to get you. In the shadows, being cautious is often mistaken for being paranoid, but there’s a dramatic difference between the two. A character with this quality truly thinks everyone is out to get her. Whether this is really the case, or simply a matter of an overactive imagination, the character faces a –2 dice pool modifier on all Social Tests involving contacts with a Loyalty less than 4 or any generally unfamiliar person. The character also refuses to ever give out her address or any information on where she lives and must change living spaces every few months to ease their fear of being found.",Negative,SR5:RF,,1,,,0,
206,Paraplegic,"10 KARMA","Characters with this quality are paralyzed from the waist down. They can perform any physical tasks that do not require the use of their legs, and locomotion usually occurs via wheelchair or wheelchair drone. The character is fast, with a walking speed of Agility x 3 and running speed of Agility x 4, regardless of metatype (shadowrunners get the fast and agile wheelchairs of marathoners and murderball athletes, not slow and cumbersome chairs). They have trouble, though, with stairs and curbs, which can prevent them from getting where they need to go.    The paralysis can be permanent or a temporary condition while the character builds up funds to get surgery to fix the cause. Once the repair is done, the quality has to be bought off. The character has a lot of additional expenses to make the world more manageable. To reflect this, their Lifestyle cost is increased by 10 percent (cumulative with racial modifiers) and vehicles need to be modified, increasing their price by 5 percent, or have a Rigger Interface (p. 461, SR5) for DNI control.    The quality does not affect the character’s abilities in astral space or the Matrix.",Negative,SR5:RF,,1,,,0,
207,"Phobia (Uncommon, Mild)","5 KARMA","Fear is the mind-killer. It can also cause reactions from distraction to utter panic. A character with this quality has a visceral fear of some kind that shakes them whenever they are exposed. The severity of the fear determines their reaction to it and any modifiers they may face in its presence. That, combined with how frequently they may be exposed to their object of apprehension, determines the Karma value of the quality based on the Phobia table.    Mild phobias cause a –1 dice pool modifier to all actions while in the presence of their source. Moderate phobias cause a –3 dice pool modifier to all actions while in the presence of their source, and the character must succeed on a Composure (2) Test or feel a strong need to get away from the source of their fear. A Severe phobia causes the character to face a -6 dice pool modifier, requires a Composure (5) Test to stay in its presence, and if the Composure Test is failed the character must move away for at least (5 – hits) Combat Turns.",Negative,SR5:RF,,1,,,1,
208,"Pie Iesu Domine. Dona Eis Requiem.","2 KARMA","The character is a flagellant, believing in causing himself pain to serve a greater good. Perhaps they seek clarity through pain; perhaps it is a constant act of contrition for their deeds. Whatever the reason, the character gains High Pain Tolerance 1 but always starts the day with 1 box of Physical damage. This box can be healed, but the character will seek to cause himself another box of damage as soon as possible. Note that the character’s wounds may cause questions in certain social settings, should anyone notice.",Negative,SR5:RF,,1,,,0,
209,"Poor Self Control (Braggart)","5 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    No one has ever done it bigger or better than her. The character will always try to top anyone else’s claims of success, even to the point of lying about it. This may result in them being ignored, considered infantile, or challenged to prove their superiority, but without a Composure (3) Test they won’t back down from the brag.",Negative,SR5:RF,,1,,,0,
210,"Poor Self Control (Thrill-Seeker)","4 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    It’s all about the rush. The character will always take the most dangerous and risky option in any situation if they don’t succeed at a Composure (2) Test. There is a slight payoff, as the adrenaline rush provides a +1 to their Initiative Score for 5 Combat Turns (meaning that is how long the bonus lasts, not that the character gets an additional bonus each turn).",Negative,SR5:RF,,1,,,0,
211,"Poor Self Control (Compulsive I, Personal)","4 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    There is an order to all things that must be maintained, and the character feels the need to exert their sense of order on everything. The value of this mental malady comes from how severe the compulsion is and how much of a negative impact it can have on the character. Maybe she likes a tidy house, maybe she sees a necessary order to the items on the tables out in the world, or maybe she feels the need to practice her skills (be they hacking, casting, shooting, talking, stealing, sneaking, etc.) every chance she gets. The character must make a Composure (2) test to resist the compulsion. The base Karma value is (2 x threshold needed for Composure Test; must be from 1 to 4); then add 2 for things in the character’s personal environment (e.g., placement of furniture and minor appliances), 3 for a single aspect of the public environment (e.g., correcting bad apostrophes on signs, counting every Ford Americar they see), or 4 for a broad aspect of the public environment (e.g., touching every light post they walk by, hacking into every camera they see).",Negative,SR5:RF,,1,,,0,
212,"Poor Self Control (Vindictive)","5 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    Though best served cold, the thought of vengeance sure makes your blood boil. No matter how small the slight, it cannot go unreturned, and the escalation factor must always be considered. An insult may be returned with a calm threat, a threat might get the same or may require a payment in pain, and any injurious assault must be brought back upon your enemies two-fold (or more). To resist the urge for instant payback, the character must make a successful Composure (2) Test, and even when resisted, the character must add the offender’s name to their hit list for the future.",Negative,SR5:RF,,1,,,0,
213,"Poor Self Control (Combat Monster)","10 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    The red rage blinds to all but victory. A character with this quality loses much of her self-control once a fight has begun. She’ll fight until all her opponents are disabled, even if outnumbered and losing, unless she can make a Composure (3) Test to clear her head enough to break off the fight.",Negative,SR5:RF,,1,,,0,
214,"Poor Self Control (Attention-Seeker)","5 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    The spotlight is the character’s natural habitat, like a fish in water—and she suffers just as much when she’s not in it. The character goes out of her way to be vivacious and gain approval from others. Unless  she succeeds at a Composure (3) Test, the character seeks to be the center of attention whenever possible (this may or may not include combat situations, at the gamemaster’s discretion).",Negative,SR5:RF,,1,,,0,
215,"Poor Self Control (Sadistic)","8 KARMA","Whether they’re a boaster, an adrenaline junkie, or just can’t stand disorder, characters with this quality span a variety of mental ticks that all boil down to the inability to control one’s actions. The Karma costs vary based on the threshold of the Composure test involved in restraining the character’s actions. The quality can be taken multiple times, but only once for each form of control issue.    As a child, the character bullied others and tortured small animals. As an adult, she’s moved on to inflicting pain and suffering on those around her, physical and mental, whenever she has the chance. A Composure (3) Test is required to stop from inflicting some form of pain whenever the character has the reasonable chance to do so without incurring danger, even when it might interfere with her own safety, like when the team’s face is trying to talk their way out of a firefight.",Negative,SR5:RF,,1,,,0,
216,"Prank Warrior","15 KARMA","The character has an ongoing prank war with another hacker, but the proportions are a little bit out of hand. What started out as a joke is now as funny as a serial killer with clown makeup. The other hacker will randomly track you down and mess with you and your team, even (especially) in dangerous situations. The hacker will never quite go all the way—just enough to make you sweat rather profusely. For example, the hacker may randomly fire off a few Data Spikes at your gear, enough to half-brick it, or contact security of the facility you are invading and tip them off that someone is infiltrating, but without actually giving them your exact position or identity. They may hack your cybereyes to make you see things that aren’t there, and so on. Don’t think turning off your wifi is going to help—that will just make the hacker escalate his offensive, while crippling yourself.    This quality should come into play at least once per play session.",Negative,SR5:DT,,1,,,0,
217,"Prejudiced (Common, Biased)","5 KARMA","With this quality the character is Prejudiced against members of a specific group of people: metahumans, Awakened, non-metahuman sapient critters, or some other group. The character is not merely intolerant—he is outspoken about his beliefs and may actively work against the target of his prejudice. Depending upon the degree of prejudice, this quality can get the character into trouble for expressing his views or when forced to confront the targets of his prejudice.    The Karma bonus granted by this quality varies depending upon how common the hated group is, how often the character is likely to encounter members of the group, and the degree to which the character is openly antagonistic toward them. Refer to the Prejudiced Table to determine the Karma value of the quality based on the prevalence of the hated group and the degree of prejudice.    When dealing with the target of their prejudice, a character receives a –2 dice pool modifier per level of severity of the Prejudiced quality for all Social Tests. If negotiations are a part of the encounter, the target receives a +2 modifier per level of the Prejudiced quality. So if a character who is radical in their prejudiced views against the Awakened tries to negotiate with the target of their prejudice, they receive a –6 to their Negotiation Test while the target receives a +6 dice pool modifier.",Negative,Core,,1,,,1,
218,Quasimodo,"5 KARMA","The Sixth World is full of things that endanger normal genome expression, including Awakened dangers, environmental pollution, unpredictable mutagenics, and secret experimentation. People with this quality are the extreme result of such genetic tampering, whether hereditary or accidental. Characters with this quality suffer an unexpected genetic disorder that manifests as ugly and visceral physical deformities. The character suffers a –3 dice pool modifier on all Social Skill Tests not done via the Matrix and a +2 dice pool modifier for all Intimidation Tests. The character and gamemaster should negotiate to decide on an effect that is suitably negative. Quasimodo characters might also have developed personality quirks or aggressive behavior from years of social rejection.",Negative,SR5:CF,,1,,Intimidation:2,0,
219,"Records On File","1 KARMA PER RATING","(MAX RATING 10) For every point of Karma spent on this quality, one of the Big 10 megacorps possesses a relatively up-todate record of the character’s SIN, biometrics, person al, and medical data. The gamemaster and player can work together to figure out why they have this data or the player can leave that mystery up to the gamemaster. The data provides the megacorp’s agents a +2 dice pool modifier for any tests made to identify the character through their records. Due to the proliferation and saturation of facial recognition and identification systems used by the megacorporations to track consumer habits, representatives of the selected megacorps also have a +2 dice pool modifier on tests to track down or locate the character whenever they are in an area with a C or better security rating. No character can have Records on File and Erased at the same time.",Negative,SR5:RF,,1,,,0,
220,"Reduced Sense (Smell)","2 KARMA","One of the character’s five (or six for certain Awakened folks) senses is about as sharp as a butter knife. Any Test involving the chosen sense faces a –2 dice pool modifier. This quality can be taken multiple times, reducing a different sense each time, and its effects are cumulative for tests involving more than one sense, such as general Perception Tests. A character with a reduced sense of smell or taste gains 2 Karma, while a reduced sense of hearing, sight, or astral sight is worth 5 Karma, and a reduced sense of touch is worth 10 Karma because it affects most Physical skill rolls due to lack of tactile sensitivity.    If the sense is ever repaired or corrected permanently, the quality must be bought off. If the character does not have enough Karma to buy off the quality, the intended repair cannot be made. No character can have Reduced (sight) and Blind at the same time, or Reduced (hearing) and Deaf at the same time.",Negative,SR5:RF,,1,,,0,
221,Scorched,"10 KARMA","A Scorched character is coping with neurological problems brought on by damage caused in some way by Black IC, Psychotropic IC, or BTL. The problem can manifest as short- or long-term memory loss, unexpected blackouts, frequent migraines, diminished senses (sight, touch, smell, etc.), and mood disorders such as paranoia and anxiety. The player chooses one specific effect of Scorched, and its effect should be pronounced enough to hinder the character and present potential plot hooks for the gamemaster. Whenever he enters VR or slots a BTL chip, the character must make a Body + Willpower (4) Test. On a failed roll, he experiences the specified physical effects for six hours. A glitch or critical glitch on this test results in suffering the effects for 24 hours. The only way to eliminate the Scorched quality is to get the medical treatment necessary to repair the damage, then spend the Karma to buy off the Negative quality. Once Scorched, though, the character remains susceptible to the condition. Another bad encounter with Black or Psychotropic IC or a BTL will bring this quality back. In addition to the physical side effects the character may experience from being Scorched, the character is vulnerable to damage inflicted by either Black or Psychotropic IC or BTLs. When faced with this IC, the character must make a Willpower (3) Test to be able to confront it without panicking. If he is able to confront the IC that caused their Scorched condition, the character suffers a –2 to Damage Resistance Tests when these programs are inflicting damage.    To take the Scorched quality for BTLs, the character must have at least a Mild Addiction to BTLs and possess the gear necessary to use BTLs.    To take the Scorched quality for Black and/or Psychotropic IC, the character must be either a decker or a technomancer.",Negative,Core,,1,Notoriety:1,,1,
222,"Sensitive System","12 KARMA","A character with the Sensitive System quality has immuno-suppressive problems with cybernetic implants. Double all Essence losses caused by cyberware. Bioware implants, regardless of how they are grown or designed, are rejected by the character’s body. This quality works differently for characters who are technomancers or Awakened and therefore never plan to take implants. Awakened individuals or technomancers remain fully capable of channeling mana or using Resonance, but they are potentially more susceptible to Drain or Fading. A magic user or technomancer with a Sensitive System must make a Willpower (2) Test before any Drain or Fading Tests. Failure on this test results in Drain or Fading Values being increased by +2 for that particular Drain or Fading Test, as the energy traveling through their body does more damage to their Sensitive System.",Negative,Core,,1,,,0,
223,"Sensory Overload Syndrome","15 KARMA","Sensory Overload Syndrome (SOS) is a growing epidemic in the world of ever-present AROs and excessive wireless sensory input. The condition is an offshoot of AIPS, and victims suffer similar epileptic episodes. Whenever a character with SOS enters an area of high ARO saturation (gamemaster discretion) or attempts to make use of sensory enhancement systems, they must make a Willpower + Edge (4) Test or enter into an epileptic seizure for (5 – hits) minutes.    The condition can possibly be prevented by deactivating enhancement systems, the character’s commlink, or running the commlink in hidden mode, but these last two options create issues in areas where identification is required or suspicious when not broadcast.",Negative,SR5:RF,,1,,,0,
224,Signature,"10 KARMA","The origami swan can mean only one thing. For some reason, a character with this quality feels it is necessary to leave their calling card to announce their involvement in a job. The signature is usually some specific item, symbol, or technique the character uses that identifies their participation. For those who know the character and their signature, the signature is easily identified. Anyone performing a test to identify the character’s handiwork or track the character is given a dice pool modifier equal to the character’s Street Cred and Public Awareness combined.",Negative,SR5:RF,,1,,,0,
225,"Simsense Vertigo","5 KARMA","Characters who suffer from Simsense Vertigo experience feelings of disorientation whenever they work with augmented reality, virtual reality, or simsense (including smartlinks, simrigs, and image links). Such characters receive a –2 dice pool modifier to all tests when interacting with AR, VR, or simsense.",Negative,Core,,1,,,0,
226,"Sinner (National)","5 KARMA","There are four types of SINs that fall under the SINner (Layered) quality: National SIN, Criminal SIN (either Corporate or National), Corporate Limited SIN, or Corporate Born. Individuals with SINs are required by law to always broadcast their SINs. A legal SIN is required for all legal purchases. This makes them very useful things to have, so those who are SINless generally get by with the use of fake SINs (p. 367) just so they can participate in society.  At the 5 Karma level, the character has what is called a National SIN. The character’s parents were legal citizens of a nation (such as the UCAS or CAS) and he has been a citizen of that nation from birth. He has the right to vote, qualify for passports issued by his nation, enlist in the national military, or work in the national government. A National SIN is required for any national security clearance or any form of national military career. A character with a National SIN pays fifteen percent of their gross income in taxes. He is also in no way connected to any of the megacorporations. The main drawback to having a legal National SIN is the character is in the system. The nation in the player character’s background has the character’s biometric data (DNA, fingerprints, retinal scans) on file, and that biometric data is shared with law enforcement agencies through the Global SIN Registry. This makes it much easier to track a character should a job go sideways. Also, nations typically sell the personal information tied to the character’s SIN to corporations. Those with a legal SIN get nearly three times as much spam as those who don’t have a SIN or rely on fake SINs, and the spam messages they receive are disturbingly tailored to their preferences (based on their buying and browsing habits).",Negative,Core,,1,,,1,
227,"Sinner (Criminal)","10 KARMA","There are four types of SINs that fall under the SINner (Layered) quality: National SIN, Criminal SIN (either Corporate or National), Corporate Limited SIN, or Corporate Born. Individuals with SINs are required by law to always broadcast their SINs. A legal SIN is required for all legal purchases. This makes them very useful things to have, so those who are SINless generally get by with the use of fake SINs (p. 367) just so they can participate in society.  At the 10 Karma level, the character has a Criminal SIN (either Corporate or National); his Criminal SIN replaces any previous SIN. At some point in his life, the character was arrested and served time for a felony-level offense and was branded a criminal for the rest of his life. He is legally required to broadcast his Criminal SIN at all times; failure to do so is a felony and can lead to re-incarceration. He is shunned by law-abiding society. Law-abiding citizens will, if they must, deal with a SINless character before they’d have any interaction with a known criminal. With his Criminal SIN, the character will experience prejudiced views, suspicion, and/or open hostility from most people with SINs. He will often be denied entry to certain locations (high-end stores, car dealerships, museums, galleries, etc.) and will have difficulty finding legal employment. He can expect to be brought in and held up to 48 hours for questioning anytime a crime is committed in his area. The judicial system in 2075 is more an assembly line than institution of justice. Suspects are treated as guilty unless proven innocent, plausible circumstantial evidence is often sufficient for conviction, and sentencing has more to do with the judge’s mood than the crime. In this environment it’s likely the cops will be more interested in closing the case than solving any crime; they may try to pin crimes on the character with the Criminal SIN whether or not she had anything to do with it. Some degree of “adjusting” facts and “interpreting” witness accounts to support allegations is common; fabricating evidence, if only to meet conviction productivity goals, is not rare. Magic users tend to receive much harsher treatment from the judicial system than mundane criminals. If the character is a magic user with a Criminal SIN, he is registered with local law enforcement. He can expect regular—but usually not scheduled—checks to confirm he lives and to ensure he is not using forbidden spell formula, foci, or other magical gear. The nation or corporation that issued the Criminal SIN will keep close tabs on the character, if he fails to update residential information or appears in any way to be trying to evade their oversight, he is subject to arrest. He is also required to pay a fifteen percent tax on his gross income to the entity that issued his Criminal SIN.",Negative,Core,,1,Notoriety:1,,1,
228,"Sinner (Corporate Limited)","15 KARMA","There are four types of SINs that fall under the SINner (Layered) quality: National SIN, Criminal SIN (either Corporate or National), Corporate Limited SIN, or Corporate Born. Individuals with SINs are required by law to always broadcast their SINs. A legal SIN is required for all legal purchases. This makes them very useful things to have, so those who are SINless generally get by with the use of fake SINs (p. 367) just so they can participate in society.  At the 15 Karma level the character has the Corporate Limited SIN; he has somehow gained a position in a megacorporation from the outside. He may have been hired as a wageslave (or been the minor child of a person hired as a wageslave), or perhaps brought in by someone in the megacorp who saw advantage in his skill, talent, area of expertise, or some other useful attribute. Under most circumstances the Corporate Limited SIN replaces any National SIN. His Corporate Limited SIN becomes part of the Global SIN Registry, to which law enforcement agencies and security corporations alike have access. Many of these Corporate Limited SINs record whether or not the character is Awakened. The Corporate Limited SIN allows the character to be employed by the megacorp under most circumstances, and it replaces any National SIN that the character may have had previously. With the Corporate SIN, the character can be gainfully employed by the issuing megacorporation as a wageslave, a low-ranking member of the corporation’s security services, or an enlisted member of the corporation’s military. Though he could have a secret-level security clearance to perform his duties, he cannot rise to a leadership position, become an officer, or be part of the megacorporation’s Special Forces (such as the Red Samurai). As a group, characters that possess Corporate Limited SINs are believed to either know something valuable about the inner workings of the megacorporation or have a skill set rival megacorps would want; as such they are considered valid targets for extraction, even if they are no longer active with the corporation. Characters with the Corporate Limited SIN experience prejudice and hostility from those in the shadows who are SINless. The SINless believe the corporations deliberately keep them poor and powerless so they can be exploited. The character with the Corporate Limited SIN may find himself being personally blamed for his corporation’s actions—protesting he has no real authority and no connection with the actions in question usually does little good. To the SINless and neo-anarchists the character with the Corporate Limited SIN has sold out and chosen a corrupt and oppressive system over his own people. The character pays twenty percent of his gross income in taxes to his megacorporation.",Negative,Core,,1,,,1,
229,"Sinner (Corporate)","25 KARMA","There are four types of SINs that fall under the SINner (Layered) quality: National SIN, Criminal SIN (either Corporate or National), Corporate Limited SIN, or Corporate Born. Individuals with SINs are required by law to always broadcast their SINs. A legal SIN is required for all legal purchases. This makes them very useful things to have, so those who are SINless generally get by with the use of fake SINs (p. 367) just so they can participate in society.  At the 25 Karma level is the Corporate Born SIN. The character with this ID was probably born into a mega corporation, or belonged to one when it achieved extraterritoriality. At least one of his parents probably had the Corporate Born SIN as well. He grew up in the corporation, his social involvement, education, and almost every aspect of his life was managed by the corporation. His skills and aptitudes were evaluated constantly, and he was groomed for the career path to which he was best suited; his whole world was the corporation. Characters with the Corporate Born SIN had the potential and the opportunity to advance through the corporation hierarchy. He could have been a department administrator, a finance strategist, an agent of corporate intelligence, an officer in a megacorp’s military, or even a member of Corporate Special Forces (Renraku’s Red Samurai or Ares’ Firewatch). With a Corporate Born SIN, he could have enjoyed top-secret clearance within the corporation and access to nearly unlimited resources. Then something happened. An unforgivably costly mistake, the machinations of a rival, a supervisor in need of a scapegoat—something pushed the character out of the corporation and into the cold and unforgiving shadows. In the shadows a SIN that had been the key to opportunity is now a deadly liability. Most in the shadows see the Corporate Born as the privileged few, the aristocrats in the armored limousines who look down on them, oppress them, exploit them and deny them their basic rights. If the SINless discover the character’s Corporate Born SIN, reactions will range from deep suspicion to violent hostility; serious injury and death are real possibilities. The character’s loyalty to his corporation is never questioned, which can be an insurmountable liability in a culture that works against the megacorps. Would-be runners have been killed for holding Corporate Born SINs. Fortunately, Corporate Born records are limited to the megacorporation that generated them. Files in the Global SIN Registry can confirm she has a valid SIN, but do not contain any additional information. Those with Corporate Born SINs pay a tax of ten percent of their gross income to their corporation.",Negative,Core,,1,,,1,
