Row,Name,MaxRating,MinRating,Type,Part,Essence,Capacity,Availability,Cost,Description,Wireless,Source,Base,Container,Attachable,Bonus,Skill
114,"Additional Eye Mount",1,1,Cyberware,Eye,0.2,[2],8,"1,000¥","Ever wanted eyes in the back of your head? Well, now you can! Each additional eye mount allows the user to attach a cybereye to any part of their body that they wish. Due to the disorienting nature of such extra eyes, the user has a cumulative penalty of â€“1 to their Physical limit, and all weapon Accuracies, for each eye active beyond two. (A user can close one normal eye and use an additional eye mount as the second without penalty, or close both natural eyes and use two additional eye mounts as well.) Placement of this additional eye can provide tactical advantages for the cunning shadowrunner. The most common placement is one in the back of the head, to be aware of ambushes, or to a hand, allowing someone to look around corners. The listed cost is for the mount; the cybereye itself is sold separately. Using one eye in front and one in back grants +2 dice to Surprise tests.",NULL,SR5:CF,1,0,1,PhysicalLimit:-1,
115,"Eye-light System",1,1,Cyberware,Eye,0.1,[2],2,500¥,"The eye light system involves a pair of minuscule, high-power but low-heat lights installed into the userâ€™s cybereyes. The mechanism is attached to the forward inner wall of the eye, with a second, smaller pupil installed to allow it to shine out. The light has a range of two meters and allows for a person with low-light vision to see for a range ten times that. The thin beam illuminates an area roughly the size of a sheet of paper or half a fuse box, allowing for a wide range of activities while leaving the hands completely free. Standard white light may be replaced by any other color, or ultraviolet, at no additional cost, with red being the most popular alternative.",NULL,SR5:CF,1,0,1,,
116,"Eye Protectors",1,1,Cyberware,Eye,0.1,[2],-,100¥,"These are simple protective covers that go over the userâ€™s eyes, preventing them from being harmed by dust and debris. Theyâ€™re available in a wide array of color and style, as well as in plastic (Armor 3, just for the eyes) or ballistic glass (Armor 6, just for the eyes).",NULL,SR5:CF,1,0,1,,
117,"Microscopic Lenses",1,1,Cyberware,Eye,0.2,[3],4,"1,000¥"," Take your lab with you, but donâ€™t forget your slides! Microscopic lenses allow for refocusing of the eye to a massive magnification of tiny, tiny objects, up to 1000X their normal size. When microscopic lenses are active, the userâ€™s eye is unsuitable for any other task, but a Simple Action allows the lens to be switched on or off. An item further away than 30 centimeters is beyond the focal ability of active microscopic lenses. When microscopic lenses are being used, in addition to the obvious use, they provide a +4 dice pool bonus on Perception tests to examine the material in question.",NULL,SR5:CF,1,0,1,,
118,"Spider Eyes",1,1,Cyberware,Eye,0.2,2,8,"2,000¥","Primitive eye clusters may be installed as an alternative to a third (or fourth, fifth, etc.!) eye. These simple eyes have poor detail and little color, but they discern light and darkness and, more importantly, movement. By placing these along the rear of the userâ€™s head or neck, they can detect something approaching and react accordingly, without the distraction that a full visual sensory input would bring from a full eye. Note that Spider Eyes are cybereyes, not cybereye modifications!  Users with spider eyes receive a +1 dice pool bonus on Surprise tests if the surprise is within 10 meters of them.",NULL,SR5:CF,1,1,0,,
119,"Targeting Laser",1,1,Cyberware,Eye,0.2,[4],4,"1,000¥","This is a large visible-dot laser (available in your choice of color) built into the userâ€™s trigger hand, allowing it to act as a laser sight for all carried ranged weapons without using a top mount. As per a standard laser sight, this increases the weaponâ€™s accuracy by 1 and is incompatible with smartgun modifiers.  For people with infravision capabilities, an IR version is available so that your targeting activities are not overly obvious.",NULL,SR5:CF,1,0,1,,
120,"Targeting Laser (Infrared)",1,1,Cyberware,Eye,0.2,[4],6,"1,250¥","This is a large visible-dot laser (available in your choice of color) built into the userâ€™s trigger hand, allowing it to act as a laser sight for all carried ranged weapons without using a top mount. As per a standard laser sight, this increases the weaponâ€™s accuracy by 1 and is incompatible with smartgun modifiers.  For people with infravision capabilities, an IR version is available so that your targeting activities are not overly obvious.",NULL,SR5:CF,1,0,1,,
121,"Cyberears R1",1,1,Cyberware,Ear,0.2,4,3,"3,000¥","Ordinarily, cyberears replace only the inner ear, although the whole thing can be replaced as well if you like. Cyberears offer hearing with normal ranges (like an omni-directional microphone), a sound link, and Capacity for modifications and enhancements.",NULL,Core,1,1,0,,
122,"Cyberears R2",2,2,Cyberware,Ear,0.3,8,6,"4,500¥","Ordinarily, cyberears replace only the inner ear, although the whole thing can be replaced as well if you like. Cyberears offer hearing with normal ranges (like an omni-directional microphone), a sound link, and Capacity for modifications and enhancements.",NULL,Core,1,1,0,,
123,"Cyberears R3",3,3,Cyberware,Ear,0.4,12,9,"7,500¥","Ordinarily, cyberears replace only the inner ear, although the whole thing can be replaced as well if you like. Cyberears offer hearing with normal ranges (like an omni-directional microphone), a sound link, and Capacity for modifications and enhancements.",NULL,Core,1,1,0,,
124,"Cyberears R4",4,4,Cyberware,Ear,0.5,16,12,"11,000¥","Ordinarily, cyberears replace only the inner ear, although the whole thing can be replaced as well if you like. Cyberears offer hearing with normal ranges (like an omni-directional microphone), a sound link, and Capacity for modifications and enhancements.",NULL,Core,1,1,0,,
125,"Audio Enhancement",3,1,Cyberware,Ear,0.1,[Rating],"Rating x 3","Rating x 4,000¥","An implanted version of audio enhancement (p. 445).",NULL,Core,1,0,1,MentalLimit:[Rating],
126,"Balance Augmenter",1,1,Cyberware,Ear,0.1,[4],8,"8,000¥","The balance augmenter enhances the inner earâ€™s natural balance mechanism. You receive one bonus die on all tests involving balance, such as climbing, walking across a narrow platform, landing after a jump, and so on.",NULL,Core,1,0,1,,
127,Damper,1,1,Cyberware,Ear,0.1,[1],6,"2,250¥","This implant protects the user from sudden increases in sound as well as damaging sound levels. The damper adds a +2 dice pool bonus to resisting sonic attacks, including flashbangs.",NULL,Core,1,0,1,SonicResist:2,
128,"Select Sound Filter",6,1,Cyberware,Ear,0.1,[Rating],"Rating x 3","Rating x 3,500¥","An implanted version of the select sound filter audio enhancement, with the difference that the maximum available Rating is 6 instead of 3.",NULL,Core,1,0,1,,
129,"Sound Link",1,1,Cyberware,Ear,0.1,*,4,"1,000¥","The audio equivalent of image link, sound link can play audio (recordings, movie soundtracks, music, etc.) from linked sources within the userâ€™s PAN (or headware memory, or datajack) directly into the userâ€™s cyberears. A sound link is a common component of immersive AR environments, adding a sonic component.",NULL,Core,1,0,0,,
130,"Spatial Recognizer",1,1,Cyberware,Ear,0.1,[2],8,"4,000¥","An implanted version of the spatial recognizer enhancement.",NULL,Core,1,0,1,MentalLimit:2,
131,Antennae,1,1,Cyberware,Ear,0.1,[1],2,500¥,"With an extended antenna array, the user can send and receive wireless signals easier than without. Available in both retractable and fragile or non-retractable and sturdy options for the same cost, they are often, but not always, taken in pairs and come in a wide variety of designs, shapes, and colors. Shiawase MochiMecha are all the rage this year! Each antenna, to a maximum of three, reduces Noise by 1 for the user. And only the user.",NULL,SR5:CF,1,0,1,,
132,"Audio Analyzer",1,1,Cyberware,Ear,0.1,[1],4,"1,000¥","A simple bit of hardware that measures and identifies both pitch and timbre, audio analyzer is quite useful for musicians and impersonators, but it can also allow eavesdropping of old touch-tone datapads. The audio analyzer acts as a Rating 4 device for identifying pitch, and raises the Social limit by 1 for musical performances for the user.",NULL,SR5:CF,1,0,1,SocialLimit:1,
133,"Ear Protectors",1,1,Cyberware,Ear,0.05,[1],-,250¥,"Adding cups over a user’s ears provides protection not unlike eye covers for cybereyes. This acts as Armor 3, though only to protect the ears.",NULL,SR5:CF,1,0,1,,
134,"Increased Spectrum",1,1,Cyberware,Ear,0.1,[1],6,500¥,"A basic augmentation that expands the user’s hearing spectrum beyond the typical metahuman breadth of 20 Hz to 20 kHz as well as beyond typical audio enhancements. The user’s hearing extends as low as 5 Hz, into infrasonic sound, and as high as 120 kHz into the ultrasonic. This allows the user to hear sounds outside the normal range, such as dog whistles or ultrasound- based motion detectors, which would otherwise go unnoticed. If combined with a device to create such sounds, such as a voice modulator, then a method of signaling, or even communication, can be employed that is difficult for those without the augmentation to listen in on.","Access to a public database that allows these sounds to be compared to known sounds and identified, giving +2 dice to Perception tests to identify a particular sound.",SR5:CF,1,0,1,,
135,"Modular Mount",1,1,Cyberware,Ear,0.1,[1],4,250¥,"Using a universal connector not unlike the tactical rail of a modern firearm, the modular mount allows a single gun accessory, or a similarly sized hand tool, to be attached to the user’s ear, providing a hands-free option for essential gear. Small, handheld items, such as a flashlight or handheld sensor can be modified to be mountable for 50 nuyen for each item. It takes a Simple Action to remove a modular item, and another Simple Action to replace a modular item.","Removing a modular item is a Free Action instead of a Simple Action.",SR5:CF,1,0,1,,
136,Translat-Ear,1,1,Cyberware,Ear,0.1,[Rating],8,"Rating x 2,000¥","New from Renraku, the Translat-Ear allows you to hold a single language knowsoft and provides translation for what you hear with only a one-second delay. While the Translat-Ear isn’t able to assist you to read or speak the language, it provides a vastly cheaper option for translation services than a full skilljack. Renraku happily provides Matrix storage for all of your linguasofts, allowing you to wirelessly access them at will, but reminds you that their Babel service is even handier!","You can switch between any linguasofts you own as a Simple Action. In addition, if you subscribe to a wireless skillsoft service, you may switch between all languages as normal (see p. 78).",SR5:CF,1,0,1,,
137,"Bone Lacing (Plastic)",1,1,Cyberware,Body,0.5,-,8R,"8,000¥","Your bones are laced with lattice chains of reinforcing plastics or metals, improving their integrity and tensile strength (and adding to your bodyâ€™s overall weight). Bone lacing comes in three types: plastic, aluminum, and titaniumâ€”you can only have one installed at a time. It gives you extra Body for resisting physical damage, a little Armor (cumulative with other Armor, without adding to Encumbrance), and changes your unarmed combat damage, all listed in the Bone Lacing table. Bone lacing is incompatible with other augmentations that add to or alter your bones (such as bone density augmentation).",NULL,Core,1,0,0,"DamageResist:1,Armor:1",
138,"Bone Lacing (Aluminum)",1,1,Cyberware,Body,1,-,12R,"18,000¥","Your bones are laced with lattice chains of reinforcing plastics or metals, improving their integrity and tensile strength (and adding to your bodyâ€™s overall weight). Bone lacing comes in three types: plastic, aluminum, and titaniumâ€”you can only have one installed at a time. It gives you extra Body for resisting physical damage, a little Armor (cumulative with other Armor, without adding to Encumbrance), and changes your unarmed combat damage, all listed in the Bone Lacing table. Bone lacing is incompatible with other augmentations that add to or alter your bones (such as bone density augmentation).",NULL,Core,1,0,0,"DamageResist:2,Armor:2",
139,"Bone Lacing (Titanium)",1,1,Cyberware,Body,1.5,-,16R,"30,000¥","Your bones are laced with lattice chains of reinforcing plastics or metals, improving their integrity and tensile strength (and adding to your bodyâ€™s overall weight). Bone lacing comes in three types: plastic, aluminum, and titaniumâ€”you can only have one installed at a time. It gives you extra Body for resisting physical damage, a little Armor (cumulative with other Armor, without adding to Encumbrance), and changes your unarmed combat damage, all listed in the Bone Lacing table. Bone lacing is incompatible with other augmentations that add to or alter your bones (such as bone density augmentation).",NULL,Core,1,0,0,"DamageResist:3,Armor:3",
140,"Dermal Plating",6,1,Cyberware,Body,"Rating x 0.5",-,"(Rating x 4)R","Rating x 3,000¥","Hard plastic and ceramic fiber plates are bonded to the users skin. The plates are clearly visible, and are even more obvious to the touch, but they can be cosmetically stylized for color and surface texture. Dermal plating gives you bonus Armor equal to its Rating (cumulative with other Armor, without adding to Encumbrance). Dermal plating cannot be combined with other augmentations to the skin that provide armor, including orthoskin.",NULL,Core,1,0,0,Armor:[Rating],
141,"Fingertip Compartment",1,1,Cyberware,Body,0.1,[1],4,"3,000¥","This compartment is hidden in the hollowed out last joint of one finger, with a catch that allows the fingernail to be lifted up as an access panel, or the entire fingertip removed. A fingertip compartment allows the storage of micro-sized items, like a micro-drone, RFID tag, or datachip. Inserting or removing an object takes one Complex Action. Items held within are completely concealed, and the compartment itself has Concealability â€“10. One popular trick is to use a fingertip compartment to hold a monofilament whip (p. 422), with the fingertip acting as control weight. Extending a monofilament whip from a fingertip compartment takes a Simple Action, while spooling it back up requires one Complex Action. Thereâ€™s no telling how many actions it will take for people to stop being impressed at what just came out of your finger.Â See Johnny Mneumonic",NULL,Core,1,0,1,,
142,"Grapple Gun",1,1,Cyberware,Body,0.5,[4],8,"5,000¥","This is an implanted version of the grapple gun described on p. 449. It doesnâ€™t store any rope inside it, but you can attach an external rope before you shoot the grapple.",NULL,Core,1,0,1,,
143,"Internal Air Tank",3,1,Cyberware,Body,0.25,[3],Rating,"Rating x 4,500¥","The internal air tank replaces part of one lung with a pressurized internal air reserve that allows you to hold your breath for up to (Rating) hours. This allows extended underwater operations and complete protection from inhalation-vector toxin attacks as long as youâ€™re holding your breath. Activating or de-activating the tank is a Simple Action. Refilling the air tank with pressurized air through an intake valve (located under your ribcage) takes five minutes, or you can refill it through six hours of normal breathing.",NULL,Core,1,0,1,,
144,"Muscle Replacement",4,1,Cyberware,Body,Rating,-,"(Rating x 5)R","Rating x 25,000¥","Why take the time to exercise when you can just install a physique? Vat-grown synthetic muscles replace or augment your own, and calcium treatments and skeletal reinforcement contribute to your overall strength. It increases both your Strength and Agility attributes by its rating. It cannot be combined with other augmentations to the muscles, including muscle augmentation or muscle toner bioware.",NULL,Core,1,0,0,"Strength:[Rating],Agility:[Rating]",
145,"Reaction Enhancers",3,1,Cyberware,Body,"Rating x 0.3",-,"(Rating x 5)R","Rating x 13,000¥","By replacing specific, isolated vertebrae of your spinal column with segments of superconducting material, your reactions to events become quicker. Add the Rating of reaction enhancers to your Reaction attribute (and remember to adjust Initiative and Physical limit accordingly). Reaction enhancers are incompatible with all other enhancements to Reaction, including wired reflexes.",NULL,Core,1,0,0,Reaction:[Rating],
146,Skillwires,6,1,Cyberware,Body,"Rating x 0.1",-,"Rating x 4","Rating x 20,000¥","Skillwires are a system of neuromuscular controllers that overlie the bodyâ€™s natural nervous system; they are capable of aiding or completely overriding muscular movement, controlled by the â€œmuscle memoryâ€� played through a skilljack (p. 452). This system allows you to use activesofts with a rating up to your skillwireâ€™s rating, but only if that activesoft is running on your implanted skilljack. Skillwires are incompatible with reflex recorder bioware.",NULL,Core,1,0,0,,
147,"Smuggling Compartment",1,1,Cyberware,Body,0.2,[2],6,"7,500¥","For items that wonâ€™t fit in a fingertip but that you still canâ€™t afford to have found, smuggling compartments can be placed in parts of the body that can be easily hollowed out/replaced. This includes ribs and the space between them, hip bones, shoulder blades, and so forth. These compartments can allow the storage of small and mini-sized items (nothing bigger than a light pistol typically; your gamemaster will let you know if somethingâ€™s too big). The compartment has a Concealability of â€“10. Inserting or retrieving an object requires a Complex Action.",NULL,Core,1,0,1,,
148,"Wired Reflexes R1",1,1,Cyberware,Body,2,-,8R,"39,000¥","This highly invasive, painful, life-changing operation adds a multitude of neural boosters and adrenaline stimulators in strategic locations throughout your body work to catapult you into a whole new world where everything around you seems to move in slow motion. The system includes both manual and wireless triggers to turn the wired reflexes on and off; activating or deactivating the trigger manually requires a Complex Action, doing so wirelessly is a Simple Action. When activated, each rating point of wired reflexes gives you +1 Reaction (and accompanying bonus to Initiative) and +1D6 Initiative Die. Wired reflexes are incompatible with augmentations that affect Reaction or Initiative.",NULL,Core,1,0,0,"Reaction:1,InitiativeDice:1",
149,"Wired Reflexes R2",2,2,Cyberware,Body,3,-,12R,"149,000¥","This highly invasive, painful, life-changing operation adds a multitude of neural boosters and adrenaline stimulators in strategic locations throughout your body work to catapult you into a whole new world where everything around you seems to move in slow motion. The system includes both manual and wireless triggers to turn the wired reflexes on and off; activating or deactivating the trigger manually requires a Complex Action, doing so wirelessly is a Simple Action. When activated, each rating point of wired reflexes gives you +1 Reaction (and accompanying bonus to Initiative) and +1D6 Initiative Die. Wired reflexes are incompatible with augmentations that affect Reaction or Initiative.",NULL,Core,1,0,0,"Reaction:2,InitiativeDice:2",
150,"Wired Reflexes R3",3,3,Cyberware,Body,5,-,20R,"217,000¥","This highly invasive, painful, life-changing operation adds a multitude of neural boosters and adrenaline stimulators in strategic locations throughout your body work to catapult you into a whole new world where everything around you seems to move in slow motion. The system includes both manual and wireless triggers to turn the wired reflexes on and off; activating or deactivating the trigger manually requires a Complex Action, doing so wirelessly is a Simple Action. When activated, each rating point of wired reflexes gives you +1 Reaction (and accompanying bonus to Initiative) and +1D6 Initiative Die. Wired reflexes are incompatible with augmentations that affect Reaction or Initiative.",NULL,Core,1,0,0,"Reaction:3,InitiativeDice:3",
151,"Active Hardwires",1,1,Cyberware,Body,"Rating x 0.05",-,"Rating x 2","Rating x 4,000¥","Programmed with a single, unchangeable, active skill, active hardwires are a dedicated skillwire system that holds only a single skill. While this skill may not be changed, multiple active hardwires may be implanted into a person, each granting one active skill. Note that the active hardwire system includes its own processor, meaning that no skilljack is needed to operate it.",NULL,SR5:CF,1,0,0,,
152,Auto-injector,1,1,Cyberware,Body,0.05,-,2,"Rating x 1,000¥","Originally, auto-injectors were devices that released medication into a person’s body either when needed or on a regular time schedule. It took the streets about thirty seconds to realize that you could replace, say, insulin with combat drugs, and suddenly you have a sneaky boosting technology. While the base auto-injector is designed to hold a single dose of a chemical, an auxiliary storage unit is often implanted to allow up to five additional doses. The auto-injector is normally refilled from an external port but may be connected to a chemical gland (see p. 112) instead, allowing the user to produce their own chemicals and dispense them as desired. Note that while different chemicals can’t be mixed in a single dispensary, multiple injectors may be implanted to create a veritable salad bar of chemical cocktails.","Provides access to database information about the drug’s effects and a real-time countdown of its duration, as well as a monitor of when the aftereffects should pass.",SR5:CF,1,0,0,,
153,"Reusable (1 Dose)",1,1,Cyberware,Body,0.05,-,2,"contents + 500¥",NULL,NULL,SR5:CF,1,0,0,,
154,"Expanded Reservoir (+5 Doses)",1,1,Cyberware,Body,0.05,-,4,"contents + 250¥","A chemical gland may have up to four additional reservoirs attached to it, each holding up to four more doses of the chemical in question. While a character may have multiple chemical glands, they may not share reservoirs.",NULL,SR5:CF,1,0,0,,
155,Killswitch,1,1,Cyberware,Body,0.05,-,8F,"contents + 750¥","Highly illegal, the killswitch is, at its core, a single-use auto-injector that’s been filled with some virulent agent. The killswitch is rigged into a direct neural interface so that the user can trigger it with a mental command. Once triggered, in injects a presumably lethal chemical into the user’s bloodstream. Obviously, a killswitch isn’t designed to be refilled.",NULL,SR5:CF,1,0,0,,
156,"Balance Tail",1,1,Cyberware,Body,0.25,-,8,"2,000¥","Largely having fallen out of favor for their bioware cousins, balance tails are cybernetic tails extended from the user’s spine, focused on improved stability and balance. The tail is controlled by a dedicated sub-processor at the base of the spine and is autonomous, often moving about on its own without the user’s awareness as it quietly compensates for natural motion. While the base tail is in the always-classic chrome, faux-fur cat tails are, by far, the dominant style. Tails must be at least knee-length to be functional, but most are slightly longer than the user’s legs. The balance tail raises the user’s Physical limit by 1 for all tests requiring balance, such as climbing, jumping, or running. It also raises the user’s Physical limit by one for purposes of resisting knockdown.",NULL,SR5:CF,1,0,0,PhysicalLimit:1,
157,Biomonitor,1,1,Cyberware,Body,0.1,[1],2,500¥,"While this is simply an implanted version of the standard biomonitor, its cybernetic nature allows it to integrate the user’s augmentations into calculations so that, for instance, a user’s bone structure will not read as damaged just because they have plastic implants.","Provides interaction with a user’s healthcare provider, as well as constant updates in their personal PAN, making checking your vitals into a Free Action.",SR5:CF,1,0,1,,
158,"Biowaste Storage",1,1,Cyberware,Body,"Rating x 0.1",[Rating],8,"Rating x 500¥","What it says on the tin. Each Rating point allows the user to store an entire day’s worth of liquid and solid waste for later offloading via an access port.",NULL,SR5:CF,1,0,1,,
159,"Breast Implant",1,1,Cyberware,Body,0.05,-,2,250¥,"Old-fashioned gelpacks surgically inserted remain in high demand, even today. Materials used are generally safe (unless they burst), recovery times are brief, and prices are low low low. Bodyshops all across the world make a killing off these things. Sold singly, but you probably want a pair.",,SR5:CF,1,0,0,,
160,"Breast Implant 2.0",1,1,Cyberware,Body,0.1,[1],4,"1,000¥","For those who change their looks as often as they change their underwear, modern science has stepped up and given us new breast-tech, allowing the owner to adjust to whatever size they want. Hidden gel reserves and reflexive synthskin allow for any size from A to double-D, changeable with a simple wireless command. Ta-da!",,SR5:CF,1,0,1,,
161,Casemod,1,1,Cyberware,Body,-,-,4,"50-10,000¥","Originally intended for cyberlimbs, casemodding has spread to most other types of cyberware. From engraved spurs to glowing datajacks to mirror-polished dermal plating, it’s all about asserting your individuality to be just like everybody else. The possibilities are virtually endless, and many outfitters, like NeoNET’s Unique line, allow you to design your own look from their pre-engineered menu before you get it installed. You have to love monetized corporate nano-printers! The large variety of casemod possibilities falls fully under the purview of “gamemaster’s call” in terms of pricing and availability, as well as exactly what cyber can be so modified, ranging from +0 Availability and fifty nuyen added to the price to +4 Availability and ten thousand additional nuyen for truly outrageous mods. There’s no mechanical benefit, but, really, can you put a price on style, chummer? If the casemod is truly outrageous, the gamemaster may assign the player the Distinctive Style quality (p. 80, SR5) without giving the player any bonus Karma.",NULL,SR5:CF,1,0,0,,
162,"Cosmetic Surgery",1,1,Cyberware,Body,0.1,-,2,"100-20,000¥","Bigger lips? Thinner lips? Butt implants? Tummy tuck? You want it, we got it! Modern technology allows for any ugly duckling to become a beautiful swan, and the media will pound that into your skull until you submit. Conform, you drone! As with casemods, there is a vast selection of cosmetic surgery options, each a simple clinic appointment away. The more popular the trend, the more expensive the surgery, rather than the level of invasiveness. This is a gamemaster’s call in terms of pricing, ranging from a hundred nuyen for minor work, like mole removal, to ten thousand nuyen for rib removal or facial reconstruction.",NULL,SR5:CF,1,0,0,,
163,Cyberfins,1,1,Cyberware,Body,0.05,[1],8,500¥,"Retractable webs for the user’s hands and feet, cyberfins make swimming a breeze. When active, increase the user’s Physical limit for Swimming tests by 1 per cyberfin. Each pair of cyberfins further increases the user’s Swimming skill by +1. A user may have one pair on their feet and another on their hands. Lastly, a user with a pair of cyberfins has their Swimming speed increased to 150 percent of normal, or 200 percent with two pairs. Note that engaged cyberfins make use of that limb difficult for fine motor work, lowering the user’s Physical limit, or a held weapon’s accuracy, by 1 for activities such as making repairs, typing, dancing, and so on.","Activating or deactivating cyberfins is a Free Action, instead of a Simple Action.",SR5:CF,1,0,1,PhysicalLimit:-1,Swimming:1
164,"Cyber Genitalia",1,1,Cyberware,Body,0.25,[1],6,"2,000¥","Available for both male and female parts, cyber genitals might well be considered a cyberlimb, but doing so opens the door for a lot of uncomfortable discussions. Available in a wide variety of colors, textures, and sizes, cybergenitals have almost entirely been phased out by modern biotech and genetic treatments. Still, there are those who enjoy the mechanical benefits that only battery-operated devices can bring, and to them I say thank you.",NULL,SR5:CF,1,0,1,,
165,Cybersafety,1,1,Cyberware,Body,-,[1],4,100¥,"A simple implanted RFID chip informs your cybersafety- equipped weapon that you are a valid user. The cybersafety itself is a program consisting of an RFID broadcaster, held by the weapon owner, and an RFID detector built into the weapon. If the RFID safety isn’t within thirty centimeters of the weapon, it simply will not fire. The coding for this is standard-issue in all smartguns, and the technology may be added to any non-smart firearm for 100 nuyen. A bracelet or ring equipped with the RFID broadcaster is 50 nuyen.",NULL,SR5:CF,0,0,1,,
166,"Fiberoptic Hair",1,1,Cyberware,Body,0.1,[1],-,100¥,NULL,NULL,SR5:CF,1,0,1,,
167,"Flex Hand",1,1,Cyberware,Body,0.15,-,8,"1,500¥","Replacing the bones in the user’s hand with mixed-rigidity smart materials, improved tendon strength, and a general damping of the hands’ tactile senses, a flex hand allows the user to compress their hand in unnatural ways, returning to normal without adverse effect or discomfort. The primary use of this is to escape security devices, such as handcuffs, or to fit one’s hand through a space as small as three centimeters in diameter. The user receives +3 dice for any Escape Artist attempt involving removing their hand from a hold or restraint, or to fit their hands into a small opening. A flex hand is incompatible with bone augmentations or a cyberhand. The cost listed is for a single hand; note that if both hands are in restraints and you only have one flex hand, escape options will be somewhat limited.",NULL,SR5:CF,1,0,0,,
168,"Foot Anchor",1,1,Cyberware,Body,0.25,[3],10,"2,000¥","These are retractable barbs that are designed to punch into the floor beneath the user’s feet and provide an anchor point. While intended for installation into cyberfeet, foot anchors may be placed into organic legs with some difficulty. Only a single anchor may be placed per foot. When engaged (a Simple Action), the character cannot move, but gains both +1 recoil compensation and +1 to the Physical limit for purposes of Knockdown Tests per activated anchor. If used as a weapon, foot anchors deal damage as if cyberspurs. Note that anchors only function on floors with a Structure Rating of 12 or less.","Activating or deactivating is a Free Action, instead of a Simple Action.",SR5:CF,1,0,1,PhysicalLimit:1,
169,"Gastric Neurostimulator",1,1,Cyberware,Body,0.2,-,4,"2,000¥","A simple set of electro-stimulators that respond to nausea by correcting the stomach, inner ear, or other affected areas with tiny electrical impulses, rendering the user immune to the effects of nausea or motion sickness. Quite popular with sailors, acrobats, and those orbital-intended workers. The user is immune to Nausea.",NULL,SR5:CF,1,0,0,,
170,"Internal Router",1,1,Cyberware,Body,0.7,-,4,"15,000¥","Using the body’s internal neural network as “wires,” the internal router allows the user’s cybernetics to communicate with one another as if they were wirelessly connected and, if expanded via a datajack or similar broadcast-enabled piece of cyberware, with the rest of the user’s gear. This allows the use of some wireless functionality, such as the quick-loading function of a smartgun or the engagement of a smuggling compartment, but not those that require an outside network or similar function, such as skillwire downloads.",NULL,SR5:CF,1,0,0,,
171,"LED Tattoo (Small)",1,1,Cyberware,Body,0.05,[1],-,100¥,"With the Nano-pocalypse eradicating many nano-tatts, and more importantly the trust that the populace at large held in them, LED tattoos have staged a surprising comeback. A simple LED display is implanted under the skin, bright enough to be seen through the dermal layer when active, vanishing from sight when inactive. Available in three general sizes—small (placed on a wrist, ankle, or behind an ear), medium (covering much of a forearm or upper arm, the small of the back, or over the heart), or large (covering most of the back or the scalp)— LED tattoos combine the showcasing of one’s interests and expression of personality with the ability to remove or change those that are no longer quite so definitive. The ability to deactivate them further allows for someone to switch between club mode, where they fly their freak flag, and work mode, where they blend in with sedate corporate culture. It should be noted that there is some division between those with “real” tattoos, and “light posers” who are unwilling to get proper ink done.","The user may download new color patterns as a Simple Action.",SR5:CF,1,0,1,,
172,"LED Tattoo (Medium)",1,1,Cyberware,Body,0.1,[2],4,500¥,"With the Nano-pocalypse eradicating many nano-tatts, and more importantly the trust that the populace at large held in them, LED tattoos have staged a surprising comeback. A simple LED display is implanted under the skin, bright enough to be seen through the dermal layer when active, vanishing from sight when inactive. Available in three general sizes—small (placed on a wrist, ankle, or behind an ear), medium (covering much of a forearm or upper arm, the small of the back, or over the heart), or large (covering most of the back or the scalp)— LED tattoos combine the showcasing of one’s interests and expression of personality with the ability to remove or change those that are no longer quite so definitive. The ability to deactivate them further allows for someone to switch between club mode, where they fly their freak flag, and work mode, where they blend in with sedate corporate culture. It should be noted that there is some division between those with “real” tattoos, and “light posers” who are unwilling to get proper ink done.","The user may download new color patterns as a Simple Action.",SR5:CF,1,0,1,,
173,"LED Tattoo (Large)",1,1,Cyberware,Body,0.2,[4],8,"1,000¥","With the Nano-pocalypse eradicating many nano-tatts, and more importantly the trust that the populace at large held in them, LED tattoos have staged a surprising comeback. A simple LED display is implanted under the skin, bright enough to be seen through the dermal layer when active, vanishing from sight when inactive. Available in three general sizes—small (placed on a wrist, ankle, or behind an ear), medium (covering much of a forearm or upper arm, the small of the back, or over the heart), or large (covering most of the back or the scalp)— LED tattoos combine the showcasing of one’s interests and expression of personality with the ability to remove or change those that are no longer quite so definitive. The ability to deactivate them further allows for someone to switch between club mode, where they fly their freak flag, and work mode, where they blend in with sedate corporate culture. It should be noted that there is some division between those with “real” tattoos, and “light posers” who are unwilling to get proper ink done.","The user may download new color patterns as a Simple Action.",SR5:CF,1,0,1,,
174,"Magnetic System",1,1,Cyberware,Body,0.25,[2],8,"contents + 1,000¥","Each magnetic system is installed into a single limb, with the torso (front) and torso (rear) counting as two separate limbs for this purpose. The magnetic system is a series of electro-magnets set into the user’s body, allowing that limb to connect to ferrous metal, or to attach ferrous metals to a limb. While the majority of currently available goods are non-ferrous, instead being polymer-based, carbon-fiber, or plassteel, there are still a few load-bearing areas that use metal construction, such as building supports, bridges, heavy construction equipment, and so on. While active, the user is virtually incapable of dropping metal items, and may, if the equipment is properly equipped, move along metal surfaces by use of two or more magnetic systems. An engaged magnetic system has a Strength of 6 for purposes of what it can hold or attach. (Note that it’s entirely possible to have more weight attached to the user than they can lift). The electromagnetic field an active magnetic system produces results in a Noise rating of 1 per active system, with a range of 1 meter around the user.","Engaging or de-activating the magnetic system is a Free Action instead of a Simple Action.",SR5:CF,1,0,1,,
