Row,Name,Type,SubType,MinRating,MaxRating,Capacity,Availability,Cost,Description,Source,Accuracy,DamageValue,DamageMod,Blast,ArmorPenetration,DataProcessing,Firewall,Vector,Speed,Penetration,Power,Effects,Max,Wireless
283,"Antidote patch",Medical,"Slap Patch",1,6,,Rating,"Rating x 50¥","Add the rating of an antidote patch to any toxin resistance tests made within twenty minutes after it has been applied. The window to apply an antidote patch after being poisoned is often very narrow, depending on the toxin (Toxins, Drugs, and BTLs, p. 408).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
289,"Chem patch",Medical,"Slap Patch",0,0,,6,200¥,"This is a “blank” patch. You can add one dose of a chemical or toxin (p. 408) to it, and then apply it later to a patient (or yourself).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
290,"Slap Patch, Stim patch",Medical,"Slap Patch",1,6,,"Rating x 2","Rating x 25¥","This patch removes a number of boxes of Stun damage equal to its Rating. This effect lasts for (Rating x 10) minutes—after that period of time, the patient takes (Rating + 1) unresisted Stun damage (which may be well become physical overflow by that point). While a stimulant patch is in effect, the character is unable to rest. Frequent use of stimulant patches may require Addiction Tests. Treat it as Addiction Rating 2, Addiction Threshold 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
296,"Tranq patch",Medical,"Slap Patch",1,10,,"Rating x 2","Rating x 20¥","This patch inflicts Stun damage equal to its rating, resisted with only Body.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
306,"Slap Patch, Trauma patch",Medical,"Slap Patch",0,0,,6,500¥,"If placed on a dying patient, it allows her to make an immediate stabilization test (Physical Damage Overflow, p. 209) using her Body instead of First Aid or Medicine.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"Instead of making a test, the patient is automatically stabilized immediately."
307,"CS/Tear Gas",Medical,Toxin,0,0,,4R,20¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,"Contact,Inhalation","1 Combat Turn",0,8,"Disorientation, Nausea, Stun Damage",0,
308,Gamma-Scopolamine,Medical,Toxin,0,0,,14F,200¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,Injection,Immediate,0,12,"Paralysis, Truth Serum",0,
309,Narcojet,Medical,Toxin,0,0,,8R,50¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,Injection,Immediate,0,15,"Stun Damage",0,
310,"Nausea Gas",Medical,Toxin,0,0,,6R,25¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,Inhalation,"3 Combat Turns",0,9,"Disorientation, Nausea",0,
311,"Neuro-Stun VIII",Medical,Toxin,0,0,,12R,60¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,"Contact, Inhalation","1 Combat Turn",0,15,"Disorientation, Stun Damage",0,
312,"Neuro-Stun IX",Medical,Toxin,0,0,,13R,60¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,"Contact, Inhalation","1 Combat Turn",0,15,"Disorientation, Stun Damage",0,
313,"Neuro-Stun X",Medical,Toxin,0,0,,14R,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,"Contact, Inhalation","1 Combat Turn",-2,15,"Disorientation, Stun Damage",0,
314,"Pepper Punch",Medical,Toxin,0,0,,,5¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,"Contact, Inhalation","1 Combat Turn",0,11,"Nausea, Stun Damage",0,
315,Seven-7,Medical,Toxin,0,0,,20F,"1,000¥",,Core,NULL,NULL,NULL,NULL,NULL,0,0,"Contact, Inhalation","1 Combat Turn",-2,12,"Physical Damage, Disorientation, Nausea",0,
316,"Fake SIN",Misc,Identification,1,6,,"(Rating x 3)F","Rating x 2500¥","In 2075, you’re just a number. A SIN (or its international equivalents) is what makes a mere metahuman into a real person. Solid citizens receive their SINs at birth and carry them until they die. Not having a SIN means living outside the system, living with restricted or non-existent civil rights. Shadowrunners by default are SINless—they have a SIN only if they have the SINner quality (p. 84). Most runners don’t have one, either because they were unfortunate enough to be born poor, or because they lost it or ditched it somewhere along the way. SINs are digital, not physical objects. They exist on your commlink, or in your PAN. Getting by without a SIN can be a pain, so most runners settle for the next best thing: a fake. High quality fakes are difficult for The Man to spot; low quality fakes are … less good. The rating of the fake SIN is used in tests against verification systems (Fake SINs, p. 367) . Just like a real SIN, anytime you use a fake SIN for legitimate activity, you leave a datatrail in your wake. The fact that criminal activities can be tracked to fake SINs makes fake SINs inherently disposable. Most runners operate two or more fake SINs at a time, one for legal activity like paying rent and going shopping, another for shadier activity, and possibly a third to be used only when it’s time to get the hell outta Dodge.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
322,"Fake License",Misc,Identification,1,6,,"(Rating x 3)F","Rating x 200¥","For those who can’t or won’t go through the standard legal channels, fake licenses are available for all kinds of restricted items and activities. Items with no letter next to their availability don’t require licenses. Items that are Forbidden have no license available. Licenses, therefore, are for Restricted items. Each type of item/activity permission requires a separate license. Things that require licenses include hunting (bow and rifle), possession of a firearm, concealed carry of a firearm (separate license), spellcasting, and any Restricted gear or augmentations, etc. Just as SINs essentially exist on your commlink, fake licenses exist on your SIN and are linked to it. When you buy a fake concealed-carry license, you don’t buy it for Murderman the professional shadowrunner, you buy it for John Doe, one of Murderman’s fake SINs. Each license must be assigned to a particular (fake) SIN of the player’s choosing. Use the fake license’s rating against verification systems (Fake SIN, p. 367).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
328,"Altskin (Per Application)",Misc,"Nano Gear",0,0,,10,"1,250¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
329,"Altskin (Armor)",Misc,"Nano Gear",0,0,,3,+500¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
330,"Altskin (Chameleon)",Misc,"Nano Gear",0,0,,2,+250¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
331,"Altskin (Newprint)",Misc,"Nano Gear",0,0,,+4F,"+(Rating x 200¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
332,"Altskin (Sealer)",Misc,"Nano Gear",0,0,,1,+250¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
333,"Altskin (Shifter)",Misc,"Nano Gear",0,0,,2,+250¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
334,Etchers,Misc,"Nano Gear",0,0,,8,500¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
335,"Monowire (Per Meter)",Misc,"Nano Gear",0,0,,14R,"1,000¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
336,"Nanopaste Disguise Container (Small)",Misc,"Nano Gear",0,0,,12F,350¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
337,"Nanopaste Disguise Container (Large)",Misc,"Nano Gear",0,0,,16F,700¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
338,Nanoscanner,Misc,"Nano Gear",0,0,,8,"As Sensor¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
339,"NanoSpy (Per Application)",Misc,"Nano Gear",0,0,,14F,"10,000¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
340,"Savior Medkit",Misc,"Nano Gear",0,0,,6,"2,000¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
341,"Savior Medkit Supplies",Misc,"Nano Gear",0,0,,4,300¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
342,"Smart Corrosives (Per Application)",Misc,"Nano Gear",0,0,,10R,"4,000¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
343,"Universal Sealant (Per Application)",Misc,"Nano Gear",0,0,,10,250¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
344,Chemsuit,Misc,"Survival Gear",1,6,,"Rating x 2","Rating x 150¥","This impermeable coverall is worn over clothes or armor and provides chemical protection equal to its Rating (Chemical Protection, p. 437). It is not to be confused with a full hazmat suit, as it is not vacuum sealed. If a chemsuit is worn on top of chemical-resistant armor, only the highest chemical protection rating applies.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
350,"Climbing gear",Misc,"Survival Gear",0,0,,0,200¥,"This is a backpack full of rope (400- kilo test), an ascent/descent harness, gloves, carabiners, crampons, and so forth needed for assisted climbing (Climbing, p. 134).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
351,"Diving gear",Misc,"Survival Gear",0,0,,6,"2,000¥","Underwater diving equipment, including a diving suit, partial facemask with snorkel, breathing regulator, an air tank with 2 hours of air, and an inflatable vest for quick returns to the surface. The regulator and air tank protect against inhalation toxins just like a gas mask. The wet suit provides Rating 1 resistance to Cold damage (p. 170). Wireless signals don’t work very well underwater, but the wireless systems in the diving gear help with prep and maintenance.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
352,Flashlight,Misc,"Survival Gear",0,0,,,25¥,"By 2075, most flashlights are long lasting and super bright. Durability and brightness depend on the size—the bulkier, the better. Flashlights are also available in low-light and infrared versions, reducing visibility modifiers for low-light and thermographic vision, respectively. A flashlight can also be mounted to a weapon’s top or under-barrel mount (Mounts, p. 417).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
353,"Gas mask",Misc,"Survival Gear",0,0,,,200¥,"This air-supplied re-breather completely covers your face and gives you immunity to inhalation- vector toxin attacks (Toxins, Drugs, and BTLs, p. 408). It comes with a one-hour clean-air supply (replacements cost 40 nuyen) and can be attached to larger air tanks. It cannot be combined with a regular respirator.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The gas mask analyzes and gives you information about the surrounding air that you’re not breathing."
354,"Gecko tape gloves",Misc,"Survival Gear",0,0,,12,250¥,"The outer layer of these gloves is made of a special dry adhesive that incorporates millions of fine microscopic hairs that bond to other surfaces. Individually, these bonding forces are tiny, but combined they’re strong enough to attach a troll, upside down, to the ceiling. Gecko tape gloves come as a set that includes gloves, kneepads, and slip-on-soles. You get to use assisted climbing (p. 134) when you’re wearing the set. Gecko tape gloves are useless when they’re wet.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The adhesive outer layer can be temporarily neutralized with a wireless signal, useful for getting the gloves on and off without getting them stuck to yourself or each other."
355,"Hazmat suit",Misc,"Survival Gear",0,0,,8,"3,000¥","The hazmat suit covers your whole body and includes an internal air tank with four hours of air. As long as it’s not damaged, it provides you with a chemical seal (p. 437) and protects you from contact and inhalation vector toxin attacks (Toxins, Drugs, and BTLs, p. 408). Many hazmat suits come standard with a Geiger counter (Sensors, p. 445).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The suit analyzes and transmits information about the environment that you’re not touching or breathing."
356,"Light stick",Misc,"Survival Gear",0,0,,,25¥,"Bend, snap, and shake it to produce three hours of soft chemical illumination that covers a ten-meter radius.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
357,"Magnesium torch",Misc,"Survival Gear",0,0,,,5¥,"Strike and activate for five minutes of bright torchlight.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
358,"Micro flare launcher",Misc,"Survival Gear",0,0,,,175¥,"The flare launcher can shoot colored flares about 200 meters into the air, illuminating an area the size of a city block for a couple of minutes and negating the modifier for poor or low lighting. If you shoot it at someone, use the Exotic Ranged Weapon skill; the micro flare deals 5P Fire damage.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
359,"Micro flares",Misc,"Survival Gear",0,0,,,25¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
360,"Rappelling gloves",Misc,"Survival Gear",0,0,,,50¥,"These gloves are made of a special fabric that allows you to get a tighter grip on a grapple line, giving you a +2 dice pool bonus on all tests to hold your grip on the line. These gloves are necessary in order to use ultrathin microwire without gruesomely slicing your hands apart as you slide down it.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
361,Respirator,Misc,"Survival Gear",1,6,,,"Rating x 50¥","A respirator is a filter-mask worn over the mouth and nose that protects against inhalation-vector toxins (Toxins, Drugs, and BTLs, p. 408). The respirator adds its rating to toxin resistance tests against inhalation- vector toxins.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
367,"Survival Kit",Misc,"Survival Gear",0,0,,4,200¥,"An assortment of survival gear in a rugged bag. Includes a knife, lighter, matches, compass, lightweight thermal blanket, several days’ worth of ration bars, a water-purification unit, and more. A good item to consider for your go-bag.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
368,"Ares PED (Personal Extrication Device) Mark III",Misc,"Survival Gear",0,0,,10R,"2,500¥",,SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
369,"Glue solvent",Misc,Chemical,0,0,,2,90¥,"This spray can has enough solvent to dissolve about a square meter of fast-drying aerosol superglue.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
370,"Glue sprayer",Misc,Chemical,0,0,,2,150¥,"This fast-drying aerosol superglue allows you to quickly glue two rigid surfaces together, and holds enough for about a square meter of glue (enough to glue an exterior door or picture window shut). The glue takes 1 Combat Turn to harden. The glue has Body and Strength Ratings of 5 for the purpose of trying to force it (an Opposed Body + Strength Test).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
371,"Thermite Burning Bar",Misc,Chemical,0,0,,16R,500¥,"Thermite gel is an incendiary material that burns at extremely high temperatures. It is applied with the help of a burning bar—a rod of thermite and oxygen mounted on a handle and in a frame—that can be used to melt holes in iron, steel, and even plasteel. The thermite burning bar inflicts Fire Damage with a DV of 30P. It has to be set carefully, so a thermite bar can’t be used as a weapon (unless your target is tied up or unconscious or something, in which case, wow, ouch).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The burning bar can be activated wirelessly."
372,"Ultra-Glide Industrial Lubricant",Misc,Chemical,0,0,,12,"30¥ (per liter)",,SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
373,"Hold-Fast Adhesive Spray",Misc,Chemical,0,0,,12,50¥,,SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
374,"Binoculars C1",Misc,"Imaging Device",0,0,1,,50¥,"Typically handheld, binoculars come with built-in vision magnification. Binoculars are available in optical (which can’t take additional vision enhancements) and electronic versions (which can take vision enhancements).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
375,"Binoculars C2",Misc,"Imaging Device",0,0,2,,100¥,"Typically handheld, binoculars come with built-in vision magnification. Binoculars are available in optical (which can’t take additional vision enhancements) and electronic versions (which can take vision enhancements).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
376,"Binoculars C3",Misc,"Imaging Device",0,0,3,,150¥,"Typically handheld, binoculars come with built-in vision magnification. Binoculars are available in optical (which can’t take additional vision enhancements) and electronic versions (which can take vision enhancements).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
377,"Binoculars, Optical",Misc,"Imaging Device",0,0,,,50¥,"Typically handheld, binoculars come with built-in vision magnification. Binoculars are available in optical (which can’t take additional vision enhancements) and electronic versions (which can take vision enhancements).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
378,"Camera C1",Misc,"Imaging Device",0,0,1,,100¥,"A common visual device, cameras can capture still photos, video, and trideo, including sound. Cameras may also be upgraded with vision enhancements and audio enhancements. A micro version is available with a Capacity 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
379,"Camera C2",Misc,"Imaging Device",0,0,2,,200¥,"A common visual device, cameras can capture still photos, video, and trideo, including sound. Cameras may also be upgraded with vision enhancements and audio enhancements. A micro version is available with a Capacity 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
380,"Camera C3",Misc,"Imaging Device",0,0,3,,300¥,"A common visual device, cameras can capture still photos, video, and trideo, including sound. Cameras may also be upgraded with vision enhancements and audio enhancements. A micro version is available with a Capacity 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
381,"Camera C4",Misc,"Imaging Device",0,0,4,,400¥,"A common visual device, cameras can capture still photos, video, and trideo, including sound. Cameras may also be upgraded with vision enhancements and audio enhancements. A micro version is available with a Capacity 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
382,"Camera C5",Misc,"Imaging Device",0,0,5,,500¥,"A common visual device, cameras can capture still photos, video, and trideo, including sound. Cameras may also be upgraded with vision enhancements and audio enhancements. A micro version is available with a Capacity 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
383,"Camera C6",Misc,"Imaging Device",0,0,6,,600¥,"A common visual device, cameras can capture still photos, video, and trideo, including sound. Cameras may also be upgraded with vision enhancements and audio enhancements. A micro version is available with a Capacity 1.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
384,Micro–Camera,Misc,"Imaging Device",0,0,1,,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
385,"Contacts C1",Misc,"Imaging Device",0,0,1,6,200¥,"The most recent display devices are worn directly on the eyes. They are nearly undetectable, but they offer a bit of space for enhancements. Contacts have to be wireless; they don’t have room for a universal data connector.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
386,"Contacts C2",Misc,"Imaging Device",0,0,2,6,400¥,"The most recent display devices are worn directly on the eyes. They are nearly undetectable, but they offer a bit of space for enhancements. Contacts have to be wireless; they don’t have room for a universal data connector.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
387,"Contacts C3",Misc,"Imaging Device",0,0,3,6,600¥,"The most recent display devices are worn directly on the eyes. They are nearly undetectable, but they offer a bit of space for enhancements. Contacts have to be wireless; they don’t have room for a universal data connector.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
388,"Glasses C1",Misc,"Imaging Device",0,0,1,,100¥,"Glasses are lenses contained in lightweight frames worn on the bridge of the nose; numerous cosmetic styles are available, and vision-enhancement- equipped glasses are hard to distinguish from prescription glasses or sunglasses at a glance.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
389,"Glasses C2",Misc,"Imaging Device",0,0,2,,200¥,"Glasses are lenses contained in lightweight frames worn on the bridge of the nose; numerous cosmetic styles are available, and vision-enhancement- equipped glasses are hard to distinguish from prescription glasses or sunglasses at a glance.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
390,"Glasses C3",Misc,"Imaging Device",0,0,3,,300¥,"Glasses are lenses contained in lightweight frames worn on the bridge of the nose; numerous cosmetic styles are available, and vision-enhancement- equipped glasses are hard to distinguish from prescription glasses or sunglasses at a glance.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
391,"Glasses C4",Misc,"Imaging Device",0,0,4,,400¥,"Glasses are lenses contained in lightweight frames worn on the bridge of the nose; numerous cosmetic styles are available, and vision-enhancement- equipped glasses are hard to distinguish from prescription glasses or sunglasses at a glance.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
392,"Goggles C1",Misc,"Imaging Device",0,0,1,,50¥,"Relatively large and bulky, goggles are strapped to the head, making them difficult to dislodge. Goggles have the potential to install a wide array of vision enhancements.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
393,"Goggles C2",Misc,"Imaging Device",0,0,2,,100¥,"Relatively large and bulky, goggles are strapped to the head, making them difficult to dislodge. Goggles have the potential to install a wide array of vision enhancements.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
394,"Goggles C3",Misc,"Imaging Device",0,0,3,,150¥,"Relatively large and bulky, goggles are strapped to the head, making them difficult to dislodge. Goggles have the potential to install a wide array of vision enhancements.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
395,"Goggles C4",Misc,"Imaging Device",0,0,4,,200¥,"Relatively large and bulky, goggles are strapped to the head, making them difficult to dislodge. Goggles have the potential to install a wide array of vision enhancements.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
396,"Goggles C5",Misc,"Imaging Device",0,0,5,,250¥,"Relatively large and bulky, goggles are strapped to the head, making them difficult to dislodge. Goggles have the potential to install a wide array of vision enhancements.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
397,"Goggles C6",Misc,"Imaging Device",0,0,6,,300¥,"Relatively large and bulky, goggles are strapped to the head, making them difficult to dislodge. Goggles have the potential to install a wide array of vision enhancements.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
398,Endoscope,Misc,"Imaging Device",0,0,,8,250¥,"This fiber-optic cable is at least 1 meter long, with the first 20 centimeters on either side made up of myomeric rope (p. 449) and an optical lens. It allows the user to look around corners, under door slits, or into narrow spaces. It is available in any number of lengths, although longer segments can be unwieldy.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
399,"Imaging Scopes",Misc,"Imaging Device",0,0,3,2,300¥,"These are vision enhancers and display devices that are usually top-mounted on weapons (Firearm Accessories, p. 431).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
400,Periscope,Misc,"Imaging Device",0,0,,3,50¥,"An L-shaped tube with two mirrors, the periscope allows the user to look, shoot, or cast spells around corners.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
401,"Mage Sight Goggles",Misc,"Imaging Device",0,0,,12R,"3,000¥","These heavy goggles are connected to a myomeric rope (p. 449) wrapped around a fiber-optic cable that ends in an optical lens. The rope is available in lengths of 10, 20, or 30 meters.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
402,"Monocle C1",Misc,"Imaging Device",0,0,1,,120¥,"A monocle is worn on a headband or helmet with a flip-down arm, or (for the old-fashioned look) on a chain.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
403,"Monocle C2",Misc,"Imaging Device",0,0,2,,240¥,"A monocle is worn on a headband or helmet with a flip-down arm, or (for the old-fashioned look) on a chain.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
404,"Monocle C3",Misc,"Imaging Device",0,0,3,,360¥,"A monocle is worn on a headband or helmet with a flip-down arm, or (for the old-fashioned look) on a chain.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
405,"Monocle C4",Misc,"Imaging Device",0,0,4,,480¥,"A monocle is worn on a headband or helmet with a flip-down arm, or (for the old-fashioned look) on a chain.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
406,"Telescoping Mirror On A Stick",Misc,"Imaging Device",0,0,,10,35¥,,SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
407,"Periscope Cam",Misc,"Imaging Device",0,0,,10R,"Rating x 600¥",,SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
408,"Low-light vision",Misc,"Imaging Enhancement",0,0,[1],4,+500¥,"This accessory allows you to see normally in light levels as low as starlight. It doesn’t help in total darkness, though.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
409,"Flare compensation",Misc,"Imaging Enhancement",0,0,[1],1,+250¥,"This protects you from blinding flashes of light as well as simple glare. It mitigates the vision modifiers for glare and reduces the penalty from flashing lights, like from a flash-pak.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
410,"Image link",Misc,"Imaging Enhancement",0,0,[1],,+25¥,"A standard upgrade, this lets you display visual information (text, pictures, movies, the current time, etc.) in your field of vision. This is usually AROs, but you can display pretty much whatever you want on it. You and your team can use it to share tactical and situational info in real time. An image link is what you need to truly “see” AR and participate in the modern world.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
411,Smartlink,Misc,"Imaging Enhancement",0,0,[1],+4R,"+2,000¥","This accessory works with a smartgun system to give you the full benefit of the system. The smartgun will tell you the range to various targets, as well as ammunition level (and type), heat buildup, mechanical stress and so on. Without a smartlink, a smartgun system just sends out data that isn’t received by anyone and has no effect. A smartlink installed in a natural eye or in a pair of cybereyes is more effective than a smartlink installed in an external device; see Smartgun System, p. 433.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
412,"Thermographic vision",Misc,"Imaging Enhancement",0,0,[1],6,+500¥,"This enhancement enables vision in the infrared spectrum, enabling you to see heat patterns. It’s a very practical way to spot living beings in areas of total darkness, to check if a motor or machine has been running lately, and so on.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
413,"Vision enhancement",Misc,"Imaging Enhancement",1,6,[Rating],"Rating x 2","Rating x 500¥","This sharpens a character’s vision at all ranges, providing visual acuity closer to that of the average hawk than that of the average metahuman. It adds its Rating as a positive modifier to your limit on visual Perception Tests.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"Add the vision enhancement’s rating as a dice pool modifier to your visual Perception Tests."
419,"Vision magnification",Misc,"Imaging Enhancement",0,0,[1],2,+250¥,"This zoom function digitally magnifies vision by up to fifty times, allowing distant targets to be seen clearly. For rules on using vision magnification in ranged combat, see p. 177.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
420,"Directional mic C1",Misc,"Audio Device",0,0,1,4,50¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
421,"Directional mic C2",Misc,"Audio Device",0,0,2,4,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
422,"Directional mic C3",Misc,"Audio Device",0,0,3,4,150¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
423,"Directional mic C4",Misc,"Audio Device",0,0,4,4,200¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
424,"Directional mic C5",Misc,"Audio Device",0,0,5,4,250¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
425,"Directional mic C6",Misc,"Audio Device",0,0,6,4,300¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
426,"Ear buds C1",Misc,"Audio Device",0,0,1,,50¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
427,"Ear buds C2",Misc,"Audio Device",0,0,2,,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
428,"Ear buds C3",Misc,"Audio Device",0,0,3,,150¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
429,"Headphones C1",Misc,"Audio Device",0,0,1,,50¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
430,"Headphones C2",Misc,"Audio Device",0,0,2,,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
431,"Headphones C3",Misc,"Audio Device",0,0,3,,150¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
432,"Headphones C4",Misc,"Audio Device",0,0,4,,200¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
433,"Headphones C5",Misc,"Audio Device",0,0,5,,250¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
434,"Headphones C6",Misc,"Audio Device",0,0,6,,300¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
